OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
144805,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,704.9,20N - 12E - 6
144806,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,4,LOTS 1 THRU 4 S2N2 S2,715.56,20N - 12E - 4
144812,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,4,LOT 12 N2SW NWSE S2S2 AND LOTS 5 6 9 10 11 NESE LY S OF CONDEMNATION 95-98643,428.23,20N - 11E - 4
144820,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,22,ALL,640,20N - 12E - 22
144821,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"Bar T Bar Ranch, Inc.",20N,12E,24,ALL NELY OF FENCE,578.19,20N - 12E - 24
144822,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,20,ALL,640,20N - 12E - 20
144824,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,10E,24,ALL,640,20N - 10E - 24
144825,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,22,E2 N2NW SWNW SW,600,20N - 11E - 22
144826,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,24,ALL,640,20N - 11E - 24
144832,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,8,ALL,640,20N - 12E - 8
144833,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,10,ALL,640,20N - 12E - 10
144835,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,12,ALL,640,20N - 12E - 12
144837,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,10E,12,ALL,640,20N - 10E - 12
144838,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,8,ALL,640,20N - 11E - 8
