OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
149562,Maricopa,PERM COMMON SCHOOLS (INDMTY SELEC),Y,NAMMO TALLEY INC,2N,6E,23,M&B IN LOTS 25 26 AND 29 SESW SE,121.64,2N - 6E - 23
149564,Maricopa,PERM COMMON SCHOOLS (INDMTY SELEC),N,,1N,4E,13,M&B IN NWNW,34,1N - 4E - 13
146141,Gila,PENITENTIARY LAND FUND,Y,Arizona Department of Corrections,1N,16E,19,LOT 1 EX W 660FT AND LOTS 2 THRU 4 PMJI,118.49,1N - 16E - 19
146172,Gila,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Rafter O Land & Cattle LLC,1N,16E,8,LOT 1,15.89,1N - 16E - 8
146173,Gila,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Rafter O Land & Cattle LLC,1N,16E,7,LOTS 1 2 NE E2W2,391.79,1N - 16E - 7
146242,Gila,PERM COMMON SCHOOLS (INDMTY SELEC),N,,4S,16E,15,N2 EX SENE SESESENENE LY ELY OF PINAL COUNTY FOR SCIR,294.29,4S - 16E - 15
146250,Gila,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Estate of Olive Harrington,1N,16E,31,LOTS 1 THRU 4 W2W2,272.76,1N - 16E - 31
146394,Graham,PERM COMMON SCHOOLS,N,,3S,25E,32,L3,25.98,3S - 25E - 32
146401,Graham,PERM COMMON SCHOOLS,Y,Byner Cattle Company,4S,26E,32,LOTS 1 THRU 4 SWSE SW,321.89,4S - 26E - 32
146478,Graham,PERM COMMON SCHOOLS,Y,KK Cattle Co. LLC,6S,22E,36,ALL EX SCIR IN NENWNWNW,639.98,6S - 22E - 36
146544,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Ruskin R. Lines Sr. et al,4S,28E,17,PT LOT 4,1.61,4S - 28E - 17
146603,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,4,LOTS 1 THRU 4 S2N2 S2 SELY OF FENCE,567.13,4S - 25E - 4
146606,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,26E,30,LOT 1,5.13,4S - 26E - 30
146609,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,15,LOTS 1 THRU 4 SWSE W2,524.74,4S - 25E - 15
146611,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,13,LOT 1,19.66,4S - 25E - 13
146612,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Ruskin R. Lines Sr. et al,4S,28E,20,LOTS 2 THRU 4 E2SW W2SE PT LOT 1 W2NE SWSENE E2SE,338.4,4S - 28E - 20
146613,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,14,LOT 1,3.87,4S - 25E - 14
146614,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,23,LOTS 1 THRU 5 S2,459.07,4S - 25E - 23
146615,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,22,LOTS 1 2 W2NE SE W2,633.9,4S - 25E - 22
146618,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,25,LOTS 1 THRU 6 W2SW SESW,327.84,4S - 25E - 25
146645,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,26E,31,LOTS 1 THRU 10 S2SE E2SW SENW,532.33,4S - 26E - 31
146651,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,3,LOTS 1 THRU 5 SWNW NWSW,243.98,4S - 25E - 3
146652,Graham,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Byner Cattle Company,4S,25E,10,LOTS 1 THRU 4 W2SW SESW,255.8,4S - 25E - 10
147614,Greenlee,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Ruskin R. Lines Sr. et al,4S,28E,8,LOTS 1 THRU 4 E2,356.84,4S - 28E - 8
147617,Greenlee,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Ruskin R. Lines Sr. et al,4S,28E,17,LOTS 1 THRU 3 E2 PT LOT 4,352.56,4S - 28E - 17
154855,Pinal,PERM COMMON SCHOOLS,Y,Asarco LLC,5S,16E,16,PART LYING W 1975 S C IND RES BDY,591.46,5S - 16E - 16
155705,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Peoples Properties LLC,6S,16E,20,W2NW SW,240,6S - 16E - 20
155706,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PORTER HOUSE STATION LLC,6S,17E,8,S2SW,80,6S - 17E - 8
155714,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PORTER HOUSE STATION LLC,6S,17E,7,SESE,40,6S - 17E - 7
155897,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PORTER HOUSE STATION LLC,6S,17E,18,LOTS 3 & 4 E2 SENW E2SW M&B IN LOTS 1 2 NENW,627.68,6S - 17E - 18
156158,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Wheeler & Helen Reece & Kaycee Reece Jones,6S,16E,9,E2 E2W2 W2NW,560,6S - 16E - 9
152614,Pima,PERM COMMON SCHOOLS,Y,K.Q. Ranches L.L.C.,16S,12E,32,E2 NW,480,16S - 12E - 32
152615,Pima,PERM COMMON SCHOOLS,N,,16S,12E,36,LOTS 1 2 3 N2NE NENW M&B IN NW,202.68,16S - 12E - 36
152616,Pima,PERM COMMON SCHOOLS,N,,16S,12E,36,M&B IN NWNWNW,4.95,16S - 12E - 36
152621,Pima,PERM COMMON SCHOOLS,Y,K.Q. Ranches L.L.C.,16S,11E,36,LOTS 1 THRU 4 S2N2,334.13,16S - 11E - 36
148365,Maricopa,PERM COMMON SCHOOLS,N,,9S,1E,16,ALL,640,9S - 1E - 16
152316,Pima,"LEGISLATIVE, EXEC, JUD BLDG",Y,John F. King & Son Inc,17S,8E,31,LOTS 3 4 E2SW SE,314.72,17S - 8E - 31
152340,Pima,"LEGISLATIVE, EXEC, JUD BLDG",Y,John F. King & Son Inc,17S,8E,30,E2NE SWNE,120,17S - 8E - 30
152341,Pima,"LEGISLATIVE, EXEC, JUD BLDG",Y,John F. King & Son Inc,17S,8E,28,ALL,640,17S - 8E - 28
152343,Pima,"LEGISLATIVE, EXEC, JUD BLDG",Y,John F. King & Son Inc,17S,8E,29,ALL,640,17S - 8E - 29
152387,Pima,MINERS HSPTL-DISABLED MINERS,Y,PASCUA YAQUI TRIBE LAND OFFICE,14S,10E,34,LOTS 4 THRU 9 W2NW,355,14S - 10E - 34
152398,Pima,MINERS HSPTL-DISABLED MINERS,Y,Santa Margarita Ranch Inc.,19S,7E,26,LOTS 3 4 SESW N2SE SWSE,229.8,19S - 7E - 26
152399,Pima,MINERS HSPTL-DISABLED MINERS,Y,William R. Humphreys,19S,7E,26,L 1 2 E2NE,176.55,19S - 7E - 26
152458,Pima,NORMAL SCHOOL,Y,Santa Margarita Ranch Inc.,20S,7E,21,LOTS 6 7,57.62,20S - 7E - 21
152460,Pima,NORMAL SCHOOL,Y,Santa Margarita Ranch Inc.,20S,7E,28,LOTS 1 2 3 NENW S2SW,205.17,20S - 7E - 28
152461,Pima,NORMAL SCHOOL,Y,Santa Margarita Ranch Inc.,20S,7E,29,LOT 2,10.71,20S - 7E - 29
152487,Pima,NORMAL SCHOOL,Y,Santa Margarita Ranch Inc.,20S,7E,33,LOTS 1 2 3 N2NW SENW,254.4,20S - 7E - 33
152492,Pima,NORMAL SCHOOL,Y,Santa Margarita Ranch Inc.,20S,7E,29,LOT 1,0.91,20S - 7E - 29
152538,Pima,PERM COMMON SCHOOLS,Y,James B. Rasmussen,14S,5W,2,LOT 1 SENE,80.32,14S - 5W - 2
152541,Pima,PERM COMMON SCHOOLS,Y,PASCUA YAQUI TRIBE LAND OFFICE,15S,9E,16,ALL,640,15S - 9E - 16
152543,Pima,PERM COMMON SCHOOLS,Y,PASCUA YAQUI TRIBE LAND OFFICE,14S,9E,36,ALL,640,14S - 9E - 36
152555,Pima,PERM COMMON SCHOOLS,N,,13S,5W,36,ALL,640,13S - 5W - 36
152596,Pima,PERM COMMON SCHOOLS,Y,PASCUA YAQUI TRIBE LAND OFFICE,14S,10E,32,LOTS 1 THRU 8 N2 N2S2,723.97,14S - 10E - 32
152644,Pima,PERM COMMON SCHOOLS,Y,Santa Margarita Ranch Inc.,20S,7E,32,LOT 1,36.1,20S - 7E - 32
152645,Pima,PERM COMMON SCHOOLS,Y,Santa Margarita Ranch Inc.,20S,7E,16,LOTS 1 THRU 5 NE SENW NESW NWSE E2SE,527.41,20S - 7E - 16
152673,Pima,PERM COMMON SCHOOLS,Y,Joseph Auza and Tammy Auza,12S,6E,16,ALL,640,12S - 6E - 16
152676,Pima,PERM COMMON SCHOOLS,Y,Vernon E. Kile,11S,7E,32,ALL,640,11S - 7E - 32
152783,Pima,PERM COMMON SCHOOLS,Y,John F. King & Son Inc,17S,8E,16,ALL,640,17S - 8E - 16
152808,Pima,PERM COMMON SCHOOLS,Y,Elizabeth B. Isaman,22S,7E,2,ALL,640,22S - 7E - 2
152902,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PATRICK WHILLOCK,15S,9E,29,ALL,640,15S - 9E - 29
152905,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PATRICK WHILLOCK,15S,9E,21,ALL,640,15S - 9E - 21
152906,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PASCUA YAQUI TRIBE LAND OFFICE,15S,9E,4,NE E2NW SWNW,280,15S - 9E - 4
152907,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PATRICK WHILLOCK,15S,9E,28,ALL,640,15S - 9E - 28
152913,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PATRICK AND MARIA WHILLOCK ET AL,13S,9E,31,LOTS 1 TO 4 E2W2 E2,622.8,13S - 9E - 31
152927,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,11S,6E,30,LOTS 1 THRU 4 E2W2 E2,625.4,11S - 6E - 30
152929,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,11S,6E,18,LOTS 1 THRU 4,145.04,11S - 6E - 18
152931,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,11S,6E,19,LOTS 1 THRU 4 E2W2 E2,625.48,11S - 6E - 19
152940,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PATRICK WHILLOCK,16S,9E,6,LOTS 1 THRU 18 S2NE SE,936.21,16S - 9E - 6
152943,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Pima County,16S,9E,12,ALL,640,16S - 9E - 12
153363,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,19S,7E,34,LOTS 1 THRU 4 E2E2,315.67,19S - 7E - 34
153446,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,21S,7E,8,LOTS 1 4 5 8,142.53,21S - 7E - 8
153447,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,21S,7E,29,LOTS 1 2,71.22,21S - 7E - 29
153448,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Elizabeth B. Isaman,22S,7E,3,W2 W2E2 NENE,520,22S - 7E - 3
153459,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,11S,6E,31,LOTS 1 THRU 4 E2W2 E2,625.2,11S - 6E - 31
153479,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PATRICK WHILLOCK,15S,9E,31,LOTS 1 THRU 12 NE E2NW N2SE,752.12,15S - 9E - 31
153856,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,John F. King & Son Inc,17S,8E,30,LOTS 3 4 E2SW SE,315,17S - 8E - 30
153857,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,John F. King & Son Inc,17S,8E,31,LOTS 1 2 E2NW NE,314.84,17S - 8E - 31
153907,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,John F. King & Son Inc,18S,8E,19,LOTS 1 2 3 6  S2NE NW  E2SW SE,629.4,18S - 8E - 19
153962,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,21S,7E,5,LOT 7,11.35,21S - 7E - 5
153963,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,21S,7E,17,LOTS 1 4 5 8 W2NE,173.61,21S - 7E - 17
153964,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,21S,7E,28,LOTS 1 2 3 7 8 NE E2NW NWNW NESE,499.44,21S - 7E - 28
153965,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Santa Margarita Ranch Inc.,21S,7E,20,LOTS 1 5 6 9 SWNE,183.44,21S - 7E - 20
153966,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Elizabeth B. Isaman,22S,7E,15,LOT 1 E2 NW E2SW NWSW,632.64,22S - 7E - 15
153971,Pima,PERM COMMON SCHOOLS (INDMTY SELEC),Y,William R. Humphreys,19S,7E,23,L 1 2 3 SENE,144.27,19S - 7E - 23
154108,Pima,"ST CHRTBL, PENAL & REFORM INST",Y,Santa Margarita Ranch Inc.,21S,7E,5,LOT 1 SENE E2SE,155.52,21S - 7E - 5
154137,Pima,UNIVERSITY,Y,John F. King & Son Inc,17S,8E,21,ALL,640,17S - 8E - 21
154163,Pima,UNIVERSITY,Y,John F. King & Son Inc,17S,8E,30,NWNE,40,17S - 8E - 30
154184,Pima,UNIVERSITY,Y,Santa Margarita Ranch Inc.,21S,7E,4,LOTS 1 THRU 4 S2N2 S2,621.88,21S - 7E - 4
154268,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,20S,7E,3,LOTS 1 THRU 5 SENE NESE,247.11,20S - 7E - 3
154295,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,20S,7E,17,LOTS 1 2 EX M&B IN SW OF LOT 2,16.67,20S - 7E - 17
154296,Pima,COUNTY BOND,Y,Pima County,20S,7E,17,M&B IN SW OF LOT 2,1,20S - 7E - 17
154305,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,21S,7E,27,NW S2,480,21S - 7E - 27
154353,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,20S,7E,9,LOTS 1 2 3 SESE,102.56,20S - 7E - 9
154354,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,20S,7E,10,LOTS 2 3 NESW S2S2,267.67,20S - 7E - 10
154380,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,21S,7E,34,ALL,640,21S - 7E - 34
154382,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,21S,7E,35,W2SW,80,21S - 7E - 35
154383,Pima,COUNTY BOND,Y,Santa Margarita Ranch Inc.,21S,7E,35,E2 E2NW,400,21S - 7E - 35
154924,Pinal,PERM COMMON SCHOOLS,N,,8S,2E,32,ALL,640,8S - 2E - 32
154926,Pinal,PERM COMMON SCHOOLS,Y,Joseph Auza and Tammy Auza,8S,6E,32,ALL,640,8S - 6E - 32
154927,Pinal,PERM COMMON SCHOOLS,Y,Joseph Auza and Tammy Auza,8S,6E,16,ALL,640,8S - 6E - 16
155007,Pinal,PERM COMMON SCHOOLS,N,,7S,4E,36,LOTS 12 13 23 24 LY SELY OF DOR 93-93998,165.15,7S - 4E - 36
155032,Pinal,PERM COMMON SCHOOLS,N,,8S,3E,16,ALL,640,8S - 3E - 16
155251,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,9S,6E,7,ALL,640,9S - 6E - 7
155741,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,8S,6E,4,S2N2 S2 PT LOTS 1 THRU 4,633.47,8S - 6E - 4
155742,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Auza & Son Farms II Partnership,8S,6E,9,N2,320,8S - 6E - 9
155747,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,9S,6E,19,ALL,640,9S - 6E - 19
156178,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,9S,6E,18,ALL,640,9S - 6E - 18
156192,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,10S,6E,18,LOTS 1 THRU 4 E2W2 E2,636.44,10S - 6E - 18
156194,Pinal,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Joseph Auza and Tammy Auza,10S,6E,19,LOTS 1 THRU 4 E2W2 E2,637.28,10S - 6E - 19
156778,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,33,ALL,640,8S - 6E - 33
156779,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,28,ALL,640,8S - 6E - 28
156780,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,31,LOTS 1 THRU 4 E2 E2W2,632.72,8S - 6E - 31
156781,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,29,ALL,640,8S - 6E - 29
156782,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,20,ALL,640,8S - 6E - 20
156787,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,21,W2,320,8S - 6E - 21
156788,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,19,LOTS1 THRU 4 E2W2 E2,630.16,8S - 6E - 19
156789,Pinal,SCHOOL OF MINES,Y,Joseph Auza and Tammy Auza,8S,6E,30,LOTS 1 THRU 4 E2W2 E2,631.62,8S - 6E - 30
157875,Yavapai,PERM COMMON SCHOOLS,N,,14N,2W,36,LOT 4 LY NELY OF MILITARY RESERVATION EX 1.00 AC LY IN N2NE OF LOT 4,20.42,14N - 2W - 36
158023,Yavapai,PERM COMMON SCHOOLS,N,,14N,2W,36,E2 EX MILITARY RESERVATION LY IN W2SWNWNWSWSE,336.37,14N - 2W - 36
150615,Mohave,PERM COMMON SCHOOLS,Y,Anita M. Waite,18N,13W,16,ALL,640,18N - 13W - 16
151259,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,James H. Short ET UX,18N,13W,10,ALL,640,18N - 13W - 10
150217,Mohave,"LEGISLATIVE, EXEC, JUD BLDG",N,,17N,21W,27,LOT 1,39.19,17N - 21W - 27
150224,Mohave,HSPTL-DISABLED MNRS 2/20/1929,N,,17N,21W,34,NE,160,17N - 21W - 34
150225,Mohave,HSPTL-DISABLED MNRS 2/20/1929,N,,17N,21W,27,N2NW,80,17N - 21W - 27
150235,Mohave,PENITENTIARY LAND FUND,N,,16N,21W,3,LOT 5,40.25,16N - 21W - 3
150293,Mohave,PERM COMMON SCHOOLS,N,,17N,21W,16,E2,320,17N - 21W - 16
150643,Mohave,PERM COMMON SCHOOLS,N,,18N,21W,32,ALL,640,18N - 21W - 32
151413,Mohave,COUNTY BOND,N,,17N,21W,34,SE,160,17N - 21W - 34
144385,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,31N,4W,2,LOTS 1 THRU 4 S2N2 S2,640,31N - 4W - 2
144421,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,32N,5W,16,ALL,640,32N - 5W - 16
144423,Coconino,PERM COMMON SCHOOLS,Y,Cataract Natural Reserve Land,30N,2W,32,ALL,640,30N - 2W - 32
144642,Coconino,PERM COMMON SCHOOLS,Y,Cataract Natural Reserve Land,30N,2W,16,ALL,640,30N - 2W - 16
145109,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),N,,30N,2W,29,CATARACT CANYON LY NW NENENENWSW,68.1,30N - 2W - 29
145110,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,30N,2W,29,N2NW N2S2NW LY WLY OF CATARACT CANYON,74.82,30N - 2W - 29
145112,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,29,19.47 ACRES IN E2,19.47,30N - 2W - 29
145115,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,32N,5W,22,N2N2,160,32N - 5W - 22
145116,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,30N,2W,17,SWSW S W OF CANYON,15,30N - 2W - 17
145117,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,30N,2W,20,W2W2 E2SW,240,30N - 2W - 20
145118,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),N,,30N,2W,29,CATRACT CANYON LY IN W2SW,23.67,30N - 2W - 29
145119,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,30N,2W,8,NWNW,40,30N - 2W - 8
145120,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,30N,2W,5,LOT 4 SWNW W2SW,158.46,30N - 2W - 5
145121,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,30N,2W,29,SWNW N2NWSW LY WLY OF CATARACT CANYON,39.63,30N - 2W - 29
145123,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,8,E2E2,160,30N - 2W - 8
145125,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,20,E2NE,80,30N - 2W - 20
145172,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,17,SESE,40,30N - 2W - 17
145174,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),N,,30N,2W,33,W2NE SENE NW NESW E2SE,400,30N - 2W - 33
145180,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),N,,30N,2W,29,CATARACT CANYON LY IN S2SE,60.53,30N - 2W - 29
145250,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,21,ALL,640,30N - 2W - 21
145636,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,17,E 825 FT OF THE SWSW,25,30N - 2W - 17
145638,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,9,ALL,640,30N - 2W - 9
145640,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Cataract Natural Reserve Land,30N,2W,28,N2 SE E2SESW N2N2NESW SENENESW E2SENESW,517.5,30N - 2W - 28
145750,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,31N,3W,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,627.68,31N - 3W - 6
145751,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,31N,3W,5,LOTS 1 THRU 4 S2N2 S2,640,31N - 3W - 5
139086,Apache,PERM COMMON SCHOOLS,Y,Zuni Indian Tribe,15N,26E,36,ALL,640,15N - 26E - 36
139089,Apache,PERM COMMON SCHOOLS,Y,"J Albert Brown Ranches, Inc.",14N,26E,36,ALL,640,14N - 26E - 36
139586,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,PUEBLO OF ZUNI,17N,31E,10,LOTS 1 THRU 4,193.5,17N - 31E - 10
138800,Apache,NORMAL SCHOOL,Y,"Jaralosa Cattle Co LLC, 50% Interest and Platt Cattle Co LLC, 50% Interest",17N,30E,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,635.63,17N - 30E - 6
138906,Apache,PERM COMMON SCHOOLS,Y,Leon Plant,19N,28E,36,SESE,40,19N - 28E - 36
138907,Apache,PERM COMMON SCHOOLS,Y,David L. Nielsen and E. Ruth Nielsen,18N,29E,36,ALL LYING N OF HWY 61,307,18N - 29E - 36
138908,Apache,PERM COMMON SCHOOLS,Y,Leon Plant,18N,28E,2,S2SW SE,240,18N - 28E - 2
138909,Apache,PERM COMMON SCHOOLS,Y,Leon Plant,18N,28E,36,ALL,640,18N - 28E - 36
138913,Apache,PERM COMMON SCHOOLS,Y,Lance K. Knight,18N,27E,32,ALL,640,18N - 27E - 32
138918,Apache,PERM COMMON SCHOOLS,Y,"Jaralosa Cattle Co LLC, 50% Interest and Platt Cattle Co LLC, 50% Interest",17N,30E,2,LOTS 1 THRU 4 S2N2 S2,642.06,17N - 30E - 2
138919,Apache,PERM COMMON SCHOOLS,Y,David L. Nielsen and E. Ruth Nielsen,17N,29E,2,LOTS 1 THRU 4 S2NE SWNW NWSENW W2SWSENW E2SESENW S2,618.34,17N - 29E - 2
139043,Apache,PERM COMMON SCHOOLS,N,,21N,28E,16,ALL,640,21N - 28E - 16
139046,Apache,PERM COMMON SCHOOLS,Y,Jerry and Nancy Winn,20N,26E,2,L 1 TO 4 S2N2 S2,655.04,20N - 26E - 2
139049,Apache,PERM COMMON SCHOOLS,Y,David L. Nielsen and E. Ruth Nielsen,18N,29E,36,S OF HWY 61,315,18N - 29E - 36
139050,Apache,PERM COMMON SCHOOLS,N,,18N,29E,36,HWY 61,18,18N - 29E - 36
139550,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jerry and Nancy Winn,20N,26E,30,L 1 TO 4 E2W2 E2,617.86,20N - 26E - 30
139552,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jerry and Nancy Winn,20N,26E,18,L 1 TO 4 E2W2 E2,611.26,20N - 26E - 18
139553,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jerry D. Winn and Henson Dean Winn,20N,26E,24,NWSW S2SW,120,20N - 26E - 24
139554,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Petrified Forest National Park,19N,26E,6,L1 TO 7 SENW E2SW S2NE SE,619.11,19N - 26E - 6
139579,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Lance K. Knight,18N,27E,24,N2N2 SENE E2SE,280,18N - 27E - 24
139581,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Lance K. Knight,18N,27E,22,N2 SESE N2S2,520,18N - 27E - 22
139582,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Lance K. Knight,18N,27E,20,E2 E2W2,480,18N - 27E - 20
139583,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"Jaralosa Cattle Co LLC, 50% Interest and Platt Cattle Co LLC, 50% Interest",17N,31E,4,LOTS 1 THRU 4 S2N2 S2,637.52,17N - 31E - 4
139584,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"Jaralosa Cattle Co LLC, 50% Interest and Platt Cattle Co LLC, 50% Interest",17N,31E,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,639.06,17N - 31E - 6
139767,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,"Jaralosa Cattle Co LLC, 50% Interest and Platt Cattle Co LLC, 50% Interest",17N,30E,4,LOTS 1 THRU 4 S2N2 S2,642.22,17N - 30E - 4
139828,Apache,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Ghost Lake Corporation,18N,26E,24,ALL,640,18N - 26E - 24
140205,Apache,COUNTY BOND,N,,21N,29E,4,L1,40.77,21N - 29E - 4
