Meridian,Township,Range,Section,SurveyType,Aliquot,ParcelNumb,LLDID,GEOID,ParentGEOI,UniversalI,ParentUniv,AppTownshi,AppRange,AppSection,AppAliquot,CountyCode,BeneGroupC,EffectiveD,Terminatio,Status,WorkflowSt,ParcelAcre,ParcelAc_1,ValidGeogr,ValidAttri,OngardStat,CreatedUse,CreatedDat,LastEdited,LastEdit_1,AuditProgr,GEOCODETIM,GEOCODEUSE,GEOCODEGRI,GlobalID,Shape_STAr,Shape_STLe
"23",0070N,0030W,"16",A,NWNE,"000",230070N0030W016ANWNE,230070N0030W016ANWNE000,,,,07N,03W,"16",NW4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{C4466D02-967F-4ED8-8658-A2147B5DF79C},162569.29014299999,1612.80025605000
"23",0070N,0030W,"16",A,NWNW,"000",230070N0030W016ANWNW,230070N0030W016ANWNW000,,,,07N,03W,"16",NW4NW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{3566363F-49F7-4397-AF50-9B7E12F541D9},162076.13329500001,1610.34989007000
"23",0070N,0030W,"16",A,NWSE,"000",230070N0030W016ANWSE,230070N0030W016ANWSE000,,,,07N,03W,"16",NW4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{9F4B9A6E-39A7-4709-A19D-BA1F0AE76DC2},157886.24811099999,1589.67458511000
"23",0070N,0030W,"16",A,NWSW,"000",230070N0030W016ANWSW,230070N0030W016ANWSW000,,,,07N,03W,"16",NW4SW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{3C3EC61A-1A28-401A-838A-582D1622FB08},160909.21492599999,1604.61094160000
"23",0070N,0030W,"16",A,SENE,"000",230070N0030W016ASENE,230070N0030W016ASENE000,,,,07N,03W,"16",SE4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{E9B2E365-A7A4-4988-860F-8AF26964A5F3},163223.53742499999,1616.06093513000
"23",0070N,0030W,"16",A,SENW,"000",230070N0030W016ASENW,230070N0030W016ASENW000,,,,07N,03W,"16",SE4NW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{63BF8DA2-748F-4AA8-8703-D807988B940D},162289.28577500000,1611.40692594000
"23",0070N,0030W,"16",A,SESE,"000",230070N0030W016ASESE,230070N0030W016ASESE000,,,,07N,03W,"16",SE4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{C2B698CC-75EC-4C11-B933-C73875B5579B},157234.27286400000,1586.33075205000
"23",0070N,0030W,"16",A,SESW,"000",230070N0030W016ASESW,230070N0030W016ASESW000,,,,07N,03W,"16",SE4SW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{FD6308C0-B0CF-4AD1-B978-7A47F8F87A58},158431.32826800001,1592.52487285000
"23",0070N,0030W,"16",A,SWNE,"000",230070N0030W016ASWNE,230070N0030W016ASWNE000,,,,07N,03W,"16",SW4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{0D6820C4-8EC8-4436-92AA-FBEA8773DBB6},163287.84114599999,1616.36269307000
"23",0070N,0030W,"16",A,SWNW,"000",230070N0030W016ASWNW,230070N0030W016ASWNW000,,,,07N,03W,"16",SW4NW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{41825E1A-0B82-4C72-9FE0-885DD812A570},162182.76111100000,1610.87816241000
"23",0070N,0030W,"16",A,SWSE,"000",230070N0030W016ASWSE,230070N0030W016ASWSE000,,,,07N,03W,"16",SW4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{2449F830-1820-4254-8046-11C01098681A},157139.08728899999,1585.84175451000
"23",0070N,0030W,"16",A,SWSW,"000",230070N0030W016ASWSW,230070N0030W016ASWSW000,,,,07N,03W,"16",SW4SW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{80B0AF51-920F-4CEF-BE02-85E30897E4D2},161021.49052900000,1605.39306050000
