TRACT_ID,ACRES,COUNTY,TOWNSHIP,RANGE,SECTION,SUBDIVISIO,SECTWPRNG,Trust,Trust_Desc
"4303190",160.00000000,SIOUX,"130","86","36",SW4,"3613086",A,COMMON SCHOOLS
"4304380",160.00000000,SIOUX,"133","81","10",NE4,"1013381",N,ND STATE UNIVERSITY
"4303810",160.00000000,SIOUX,"131","84","27",SE4,"2713184",A,COMMON SCHOOLS
"4303820",160.00000000,SIOUX,"131","84","27",SW4,"2713184",A,COMMON SCHOOLS
"4303700",160.00000000,SIOUX,"131","83","28",SW4,"2813183",A,COMMON SCHOOLS
"4303270",160.00000000,SIOUX,"130","90","36",NE4,"3613090",A,COMMON SCHOOLS
"4303280",160.00000000,SIOUX,"130","90","36",NW4,"3613090",A,COMMON SCHOOLS
"1900410",103.70000000,GRANT,"130","89","36","NE4NE4, LOTS 1,3","3613089",A,COMMON SCHOOLS
"4303110",160.00000000,SIOUX,"130","85","36",NE4,"3613085",A,COMMON SCHOOLS
"4302960",152.55000000,SIOUX,"130","84","31","E2NW4, LOTS 1,2","3113084",A,COMMON SCHOOLS
"4303120",160.00000000,SIOUX,"130","85","36",NW4,"3613085",A,COMMON SCHOOLS
"4303170",160.00000000,SIOUX,"130","86","36",NW4,"3613086",A,COMMON SCHOOLS
"4303160",160.00000000,SIOUX,"130","86","36",NE4,"3613086",A,COMMON SCHOOLS
"4302990",160.00000000,SIOUX,"130","84","35",NE4,"3513084",A,COMMON SCHOOLS
"4303040",160.00000000,SIOUX,"130","84","36",NW4,"3613084",A,COMMON SCHOOLS
"4302800",157.61000000,SIOUX,"130","83","31",NW4,"3113083",A,COMMON SCHOOLS
"4302790",160.00000000,SIOUX,"130","83","31",NE4,"3113083",A,COMMON SCHOOLS
"4303000",160.00000000,SIOUX,"130","84","35",NW4,"3513084",A,COMMON SCHOOLS
"4303030",160.00000000,SIOUX,"130","84","36",NE4,"3613084",A,COMMON SCHOOLS
"4302290",160.00000000,SIOUX,"130","81","33",NE4,"3313081",A,COMMON SCHOOLS
"4302320",160.00000000,SIOUX,"130","81","36",NW4,"3613081",A,COMMON SCHOOLS
"4302310",160.00000000,SIOUX,"130","81","36",NE4,"3613081",A,COMMON SCHOOLS
"4303211",15.57000000,SIOUX,"130","89","36",LOT 8,"3613089",A,COMMON SCHOOLS
"4301780",160.00000000,SIOUX,"129","89","16",NW4,"1612989",A,COMMON SCHOOLS
"4301770",160.00000000,SIOUX,"129","89","16",NE4,"1612989",A,COMMON SCHOOLS
"4301230",155.02000000,SIOUX,"129","85","16",NW4,"1612985",A,COMMON SCHOOLS
"4301560",160.00000000,SIOUX,"129","87","16",NW4,"1612987",A,COMMON SCHOOLS
"4301552",129.23000000,SIOUX,"129","87","16",NE4 W OF RD,"1612987",A,COMMON SCHOOLS
"4301220",160.00000000,SIOUX,"129","85","16",NE4,"1612985",A,COMMON SCHOOLS
"4301380",160.00000000,SIOUX,"129","86","16",NW4,"1612986",A,COMMON SCHOOLS
"4301190",160.00000000,SIOUX,"129","85","15",NW4,"1512985",A,COMMON SCHOOLS
"4301370",160.00000000,SIOUX,"129","86","16",NE4,"1612986",A,COMMON SCHOOLS
"4300940",160.00000000,SIOUX,"129","84","16",NE4,"1612984",A,COMMON SCHOOLS
"4300670",160.00000000,SIOUX,"129","83","14",NW4,"1412983",A,COMMON SCHOOLS
"4300420",160.00000000,SIOUX,"129","81","14",NW4,"1412981",A,COMMON SCHOOLS
"4300410",160.00000000,SIOUX,"129","81","14",NE4,"1412981",A,COMMON SCHOOLS
"4301140",160.00000000,SIOUX,"129","85","9",NE4,"912985",A,COMMON SCHOOLS
"4301160",160.00000000,SIOUX,"129","85","10",NW4,"1012985",A,COMMON SCHOOLS
"4300830",160.00000000,SIOUX,"129","84","11",NE4,"1112984",A,COMMON SCHOOLS
"4300840",160.00000000,SIOUX,"129","84","11",NW4,"1112984",A,COMMON SCHOOLS
"4300370",160.00000000,SIOUX,"129","81","11",NE4,"1112981",A,COMMON SCHOOLS
"4300380",160.00000000,SIOUX,"129","81","11",NW4,"1112981",A,COMMON SCHOOLS
"4301170",160.00000000,SIOUX,"129","85","10",SW4,"1012985",A,COMMON SCHOOLS
"4301180",160.00000000,SIOUX,"129","85","12",SW4,"1212985",A,COMMON SCHOOLS
"4300390",160.00000000,SIOUX,"129","81","11",SE4,"1112981",A,COMMON SCHOOLS
"4300400",160.00000000,SIOUX,"129","81","11",SW4,"1112981",A,COMMON SCHOOLS
"4301800",160.00000000,SIOUX,"129","89","16",SW4,"1612989",A,COMMON SCHOOLS
"4301790",160.00000000,SIOUX,"129","89","16",SE4,"1612989",A,COMMON SCHOOLS
"4301580",160.00000000,SIOUX,"129","87","16",SW4,"1612987",A,COMMON SCHOOLS
"4301572",101.80000000,SIOUX,"129","87","16",SE4 W OF RD,"1612987",A,COMMON SCHOOLS
"4301400",153.00000000,SIOUX,"129","86","16",SW4,"1612986",A,COMMON SCHOOLS
"4301390",160.00000000,SIOUX,"129","86","16",SE4,"1612986",A,COMMON SCHOOLS
"4301240",160.00000000,SIOUX,"129","85","16",SE4,"1612985",A,COMMON SCHOOLS
"4301210",160.00000000,SIOUX,"129","85","15",SW4,"1512985",A,COMMON SCHOOLS
"4301200",160.00000000,SIOUX,"129","85","15",SE4,"1512985",A,COMMON SCHOOLS
"4300690",160.00000000,SIOUX,"129","83","14",SW4,"1412983",A,COMMON SCHOOLS
"4300150",160.00000000,SIOUX,"129","80","18",SE4,"1812980",A,COMMON SCHOOLS
"4300640",160.00000000,SIOUX,"129","83","13",SE4,"1312983",A,COMMON SCHOOLS
"4300160",157.80000000,SIOUX,"129","80","18","E2SW4, LOTS 3,4","1812980",A,COMMON SCHOOLS
"4300140",160.00000000,SIOUX,"129","80","17",SW4,"1712980",A,COMMON SCHOOLS
"4300130",160.00000000,SIOUX,"129","80","17",SE4,"1712980",A,COMMON SCHOOLS
"4300120",160.00000000,SIOUX,"129","80","14",SW4,"1412980",A,COMMON SCHOOLS
"4303500",160.00000000,SIOUX,"131","82","13",SE4,"1313182",A,COMMON SCHOOLS
"4303590",160.00000000,SIOUX,"131","82","24",NE4,"2413182",A,COMMON SCHOOLS
"4303600",160.00000000,SIOUX,"131","82","24",SE4,"2413182",A,COMMON SCHOOLS
"4303790",160.00000000,SIOUX,"131","84","27",NE4,"2713184",A,COMMON SCHOOLS
"4303800",160.00000000,SIOUX,"131","84","27",NW4,"2713184",A,COMMON SCHOOLS
"4302630",160.00000000,SIOUX,"130","83","9",SW4,"913083",A,COMMON SCHOOLS
"4302640",160.00000000,SIOUX,"130","83","10",SW4,"1013083",A,COMMON SCHOOLS
"4302620",160.00000000,SIOUX,"130","83","9",SE4,"913083",A,COMMON SCHOOLS
"4304060",160.00000000,SIOUX,"132","81","17",NW4,"1713281",A,COMMON SCHOOLS
"4304070",80.00000000,SIOUX,"132","81","18",E2NE4,"1813281",A,COMMON SCHOOLS
"4301620",160.12000000,SIOUX,"129","87","31","E2SW4, LOTS 3,4","3112987",A,COMMON SCHOOLS
"4301610",160.00000000,SIOUX,"129","87","31",SE4,"3112987",A,COMMON SCHOOLS
"4301630",160.00000000,SIOUX,"129","87","32",SW4,"3212987",A,COMMON SCHOOLS
"4301670",160.00000000,SIOUX,"129","87","36",SW4,"3612987",A,COMMON SCHOOLS
"4301660",160.00000000,SIOUX,"129","87","36",SE4,"3612987",A,COMMON SCHOOLS
"4301510",120.00000000,SIOUX,"129","86","36","NW4SW4, S2SW4","3612986",A,COMMON SCHOOLS
"4303842",80.00000000,SIOUX,"131","84","36",W2SE4,"3613184",A,COMMON SCHOOLS
"4303860",160.00000000,SIOUX,"131","84","36",SW4,"3613184",A,COMMON SCHOOLS
"4303410",151.40000000,SIOUX,"131","81","31",SW4,"3113181",A,COMMON SCHOOLS
"4302670",160.00000000,SIOUX,"130","83","16",NW4,"1613083",A,COMMON SCHOOLS
"4302660",160.00000000,SIOUX,"130","83","16",NE4,"1613083",A,COMMON SCHOOLS
"4302650",160.00000000,SIOUX,"130","83","15",NW4,"1513083",A,COMMON SCHOOLS
"3000870",5.47000000,MORTON,"134","81","36",LOT 4,"3613481",A,COMMON SCHOOLS
"4303520",160.00000000,SIOUX,"131","82","16",NW4,"1613182",A,COMMON SCHOOLS
"4303490",160.00000000,SIOUX,"131","82","13",NE4,"1313182",A,COMMON SCHOOLS
"4300320",160.00000000,SIOUX,"129","81","2",SE4,"212981",A,COMMON SCHOOLS
"4300330",160.00000000,SIOUX,"129","81","2",SW4,"212981",A,COMMON SCHOOLS
"4301650",160.00000000,SIOUX,"129","87","36",NW4,"3612987",A,COMMON SCHOOLS
"4301640",160.00000000,SIOUX,"129","87","36",NE4,"3612987",A,COMMON SCHOOLS
"4301760",160.00000000,SIOUX,"129","88","36",NE4,"3612988",A,COMMON SCHOOLS
"4301280",5.00000000,SIOUX,"129","85","36",N2NE4NE4NE4,"3612985",A,COMMON SCHOOLS
"4002770",160.00000000,ROLETTE,"162","72","36",NE4,"3616272",A,COMMON SCHOOLS
"4003260",133.60000000,ROLETTE,"163","71","36","E2SW4, LOTS 1,2","3616371",A,COMMON SCHOOLS
"4003251",120.00000000,ROLETTE,"163","71","36","N2SE4, SW4SE4, LESS SUBLOT 1","3616371",A,COMMON SCHOOLS
