state,managing_agency,rights_type,state_enabling_act,TRACT_ID,acres,county,township,range,section,aliquot,trust_name
ND,Commissioner of University and School Lands,Surface,"106 Stat. 676-684, esp. 679-81 (1889)",4303222,50.1,SIOUX,130,89,36,"LOTS 12,13",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"107 Stat. 676-684, esp. 679-81 (1889)",4303221,45.69,SIOUX,130,89,36,"LOTS 14,15",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"108 Stat. 676-684, esp. 679-81 (1889)",4303222,50.1,SIOUX,130,89,36,"LOTS 12,13",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"109 Stat. 676-684, esp. 679-81 (1889)",1900423,27.5,GRANT,130,89,36,LOT 7,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"110 Stat. 676-684, esp. 679-81 (1889)",4300760,160,SIOUX,129,84,1,"S2NE4, LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"111 Stat. 676-684, esp. 679-81 (1889)",4300800,160,SIOUX,129,84,2,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"112 Stat. 676-684, esp. 679-81 (1889)",4300810,160,SIOUX,129,84,2,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"113 Stat. 676-684, esp. 679-81 (1889)",1900421,20,GRANT,130,89,36,LOT 2,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"114 Stat. 676-684, esp. 679-81 (1889)",4301551,30.77,SIOUX,129,87,16,NE4 E OF RD,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"115 Stat. 676-684, esp. 679-81 (1889)",4301571,58.2,SIOUX,129,87,16,SE4 E OF RD,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"116 Stat. 676-684, esp. 679-81 (1889)",4303150,19.6,SIOUX,130,86,23,LOT 6,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"117 Stat. 676-684, esp. 679-81 (1889)",4302450,80,SIOUX,130,82,19,E2NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"118 Stat. 676-684, esp. 679-81 (1889)",4302460,160,SIOUX,130,82,20,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"119 Stat. 676-684, esp. 679-81 (1889)",4302470,80,SIOUX,130,82,21,W2NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"120 Stat. 676-684, esp. 679-81 (1889)",4302010,153.4,SIOUX,130,80,19,"E2NW4, LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"121 Stat. 676-684, esp. 679-81 (1889)",4302030,153.8,SIOUX,130,80,19,"E2SW4, LOTS 3,4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"122 Stat. 676-684, esp. 679-81 (1889)",4302020,160,SIOUX,130,80,19,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"123 Stat. 676-684, esp. 679-81 (1889)",4303290,160,SIOUX,130,90,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"124 Stat. 676-684, esp. 679-81 (1889)",4303300,160,SIOUX,130,90,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"125 Stat. 676-684, esp. 679-81 (1889)",1900422,80.3,GRANT,130,89,36,"LOTS 4,5,6",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"126 Stat. 676-684, esp. 679-81 (1889)",4303130,160,SIOUX,130,85,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"127 Stat. 676-684, esp. 679-81 (1889)",4303140,160,SIOUX,130,85,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"128 Stat. 676-684, esp. 679-81 (1889)",4303180,160,SIOUX,130,86,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"129 Stat. 676-684, esp. 679-81 (1889)",4303190,160,SIOUX,130,86,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"130 Stat. 676-684, esp. 679-81 (1889)",4304380,160,SIOUX,133,81,10,NE4,ND STATE UNIVERSITY
ND,Commissioner of University and School Lands,Surface,"131 Stat. 676-684, esp. 679-81 (1889)",4303810,160,SIOUX,131,84,27,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"132 Stat. 676-684, esp. 679-81 (1889)",4303820,160,SIOUX,131,84,27,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"133 Stat. 676-684, esp. 679-81 (1889)",4303700,160,SIOUX,131,83,28,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"134 Stat. 676-684, esp. 679-81 (1889)",4303270,160,SIOUX,130,90,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"135 Stat. 676-684, esp. 679-81 (1889)",4303280,160,SIOUX,130,90,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"136 Stat. 676-684, esp. 679-81 (1889)",1900410,103.7,GRANT,130,89,36,"NE4NE4, LOTS 1,3",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"137 Stat. 676-684, esp. 679-81 (1889)",4303110,160,SIOUX,130,85,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"138 Stat. 676-684, esp. 679-81 (1889)",4302960,152.55,SIOUX,130,84,31,"E2NW4, LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"139 Stat. 676-684, esp. 679-81 (1889)",4303120,160,SIOUX,130,85,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"140 Stat. 676-684, esp. 679-81 (1889)",4303170,160,SIOUX,130,86,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"141 Stat. 676-684, esp. 679-81 (1889)",4303160,160,SIOUX,130,86,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"142 Stat. 676-684, esp. 679-81 (1889)",4302990,160,SIOUX,130,84,35,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"143 Stat. 676-684, esp. 679-81 (1889)",4303040,160,SIOUX,130,84,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"144 Stat. 676-684, esp. 679-81 (1889)",4302800,157.61,SIOUX,130,83,31,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"145 Stat. 676-684, esp. 679-81 (1889)",4302790,160,SIOUX,130,83,31,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"146 Stat. 676-684, esp. 679-81 (1889)",4303000,160,SIOUX,130,84,35,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"147 Stat. 676-684, esp. 679-81 (1889)",4303030,160,SIOUX,130,84,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"148 Stat. 676-684, esp. 679-81 (1889)",4302290,160,SIOUX,130,81,33,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"149 Stat. 676-684, esp. 679-81 (1889)",4302320,160,SIOUX,130,81,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"150 Stat. 676-684, esp. 679-81 (1889)",4302310,160,SIOUX,130,81,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"151 Stat. 676-684, esp. 679-81 (1889)",4303211,15.57,SIOUX,130,89,36,LOT 8,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"152 Stat. 676-684, esp. 679-81 (1889)",4301780,160,SIOUX,129,89,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"153 Stat. 676-684, esp. 679-81 (1889)",4301770,160,SIOUX,129,89,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"154 Stat. 676-684, esp. 679-81 (1889)",4301230,155.02,SIOUX,129,85,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"155 Stat. 676-684, esp. 679-81 (1889)",4301560,160,SIOUX,129,87,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"156 Stat. 676-684, esp. 679-81 (1889)",4301552,129.23,SIOUX,129,87,16,NE4 W OF RD,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"157 Stat. 676-684, esp. 679-81 (1889)",4301220,160,SIOUX,129,85,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"158 Stat. 676-684, esp. 679-81 (1889)",4301380,160,SIOUX,129,86,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"159 Stat. 676-684, esp. 679-81 (1889)",4301190,160,SIOUX,129,85,15,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"160 Stat. 676-684, esp. 679-81 (1889)",4301370,160,SIOUX,129,86,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"161 Stat. 676-684, esp. 679-81 (1889)",4300940,160,SIOUX,129,84,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"162 Stat. 676-684, esp. 679-81 (1889)",4300670,160,SIOUX,129,83,14,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"163 Stat. 676-684, esp. 679-81 (1889)",4300420,160,SIOUX,129,81,14,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"164 Stat. 676-684, esp. 679-81 (1889)",4300410,160,SIOUX,129,81,14,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"165 Stat. 676-684, esp. 679-81 (1889)",4301140,160,SIOUX,129,85,9,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"166 Stat. 676-684, esp. 679-81 (1889)",4301160,160,SIOUX,129,85,10,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"167 Stat. 676-684, esp. 679-81 (1889)",4300830,160,SIOUX,129,84,11,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"168 Stat. 676-684, esp. 679-81 (1889)",4300840,160,SIOUX,129,84,11,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"169 Stat. 676-684, esp. 679-81 (1889)",4300370,160,SIOUX,129,81,11,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"170 Stat. 676-684, esp. 679-81 (1889)",4300380,160,SIOUX,129,81,11,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"171 Stat. 676-684, esp. 679-81 (1889)",4301170,160,SIOUX,129,85,10,SW4,COMMON SCHOOLS
