state,managing_agency,rights_type,state_enabling_act,TRACT_ID,acres,county,township,range,section,aliquot,trust_name
ND,Commissioner of University and School Lands,Surface,"194 Stat. 676-684, esp. 679-81 (1889)",4303790,160,SIOUX,131,84,27,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"195 Stat. 676-684, esp. 679-81 (1889)",4303800,160,SIOUX,131,84,27,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"196 Stat. 676-684, esp. 679-81 (1889)",4302630,160,SIOUX,130,83,9,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"197 Stat. 676-684, esp. 679-81 (1889)",4302640,160,SIOUX,130,83,10,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"198 Stat. 676-684, esp. 679-81 (1889)",4302620,160,SIOUX,130,83,9,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"199 Stat. 676-684, esp. 679-81 (1889)",4304060,160,SIOUX,132,81,17,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"200 Stat. 676-684, esp. 679-81 (1889)",4304070,80,SIOUX,132,81,18,E2NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"201 Stat. 676-684, esp. 679-81 (1889)",4301620,160.12,SIOUX,129,87,31,"E2SW4, LOTS 3,4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"202 Stat. 676-684, esp. 679-81 (1889)",4301610,160,SIOUX,129,87,31,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"203 Stat. 676-684, esp. 679-81 (1889)",4301630,160,SIOUX,129,87,32,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"204 Stat. 676-684, esp. 679-81 (1889)",4301670,160,SIOUX,129,87,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"205 Stat. 676-684, esp. 679-81 (1889)",4301660,160,SIOUX,129,87,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"206 Stat. 676-684, esp. 679-81 (1889)",4301510,120,SIOUX,129,86,36,"NW4SW4, S2SW4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"207 Stat. 676-684, esp. 679-81 (1889)",4303842,80,SIOUX,131,84,36,W2SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"208 Stat. 676-684, esp. 679-81 (1889)",4303860,160,SIOUX,131,84,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"209 Stat. 676-684, esp. 679-81 (1889)",4303410,151.4,SIOUX,131,81,31,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"210 Stat. 676-684, esp. 679-81 (1889)",4302670,160,SIOUX,130,83,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"211 Stat. 676-684, esp. 679-81 (1889)",4302660,160,SIOUX,130,83,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"212 Stat. 676-684, esp. 679-81 (1889)",4302650,160,SIOUX,130,83,15,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"213 Stat. 676-684, esp. 679-81 (1889)",3000870,5.47,MORTON,134,81,36,LOT 4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"214 Stat. 676-684, esp. 679-81 (1889)",4303520,160,SIOUX,131,82,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"215 Stat. 676-684, esp. 679-81 (1889)",4303490,160,SIOUX,131,82,13,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"216 Stat. 676-684, esp. 679-81 (1889)",4300320,160,SIOUX,129,81,2,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"217 Stat. 676-684, esp. 679-81 (1889)",4300330,160,SIOUX,129,81,2,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"218 Stat. 676-684, esp. 679-81 (1889)",4301650,160,SIOUX,129,87,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"219 Stat. 676-684, esp. 679-81 (1889)",4301640,160,SIOUX,129,87,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"220 Stat. 676-684, esp. 679-81 (1889)",4301760,160,SIOUX,129,88,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"221 Stat. 676-684, esp. 679-81 (1889)",4301280,5,SIOUX,129,85,36,N2NE4NE4NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"222 Stat. 676-684, esp. 679-81 (1889)",4002770,160,ROLETTE,162,72,36,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"223 Stat. 676-684, esp. 679-81 (1889)",4003260,133.6,ROLETTE,163,71,36,"E2SW4, LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"224 Stat. 676-684, esp. 679-81 (1889)",4003251,120,ROLETTE,163,71,36,"N2SE4, SW4SE4, LESS SUBLOT 1",COMMON SCHOOLS
