state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"429 Stat. 676-684, esp. 679-81 (1889)",126405,1312150,DUNN,147,91,1,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,144.310000000000002,144.310000000000002,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"430 Stat. 676-684, esp. 679-81 (1889)",126406,1311370,DUNN,149,91,1,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,153.949999999999989,153.949999999999989,Y,NORTHERN OIL AND GAS INC
ND,Commissioner of University and School Lands,Subsurface,"431 Stat. 676-684, esp. 679-81 (1889)",126407,1309960,DUNN,149,92,1,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,34.000000000000000,34.000000000000000,Y,"XTO HOLDINGS, LLC"
ND,Commissioner of University and School Lands,Subsurface,"432 Stat. 676-684, esp. 679-81 (1889)",126408,2908090,MERCER,146,88,2,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,37.000000000000000,37.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"433 Stat. 676-684, esp. 679-81 (1889)",126409,1312200,MCLEAN,148,91,2,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.01,0.01,Y,PRUDENT RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"434 Stat. 676-684, esp. 679-81 (1889)",126410,1311390,DUNN,149,91,2,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,63.530000000000001,63.530000000000001,Y,NORTHERN OIL AND GAS INC
ND,Commissioner of University and School Lands,Subsurface,"435 Stat. 676-684, esp. 679-81 (1889)",126413,2811340,MCLEAN,149,89,16,NE4,A,COMMON SCHOOLS,COMMON SCHOOLS,160.000000000000000,160.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"436 Stat. 676-684, esp. 679-81 (1889)",126506,2907640,MERCER,146,88,16,"LOT 1, THAT PART OF LOT 2 IN NE4",A,COMMON SCHOOLS,COMMON SCHOOLS,13.910000000000000,27.809999999999999,,N/A
ND,Commissioner of University and School Lands,Subsurface,"437 Stat. 676-684, esp. 679-81 (1889)",126517,2906500,MERCER,146,89,14,SE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"438 Stat. 676-684, esp. 679-81 (1889)",126534,2811330,MCLEAN,149,89,13,NW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"439 Stat. 676-684, esp. 679-81 (1889)",126538,2811110,MCLEAN,149,88,18,"E2NW4, LOTS 1,2",A,COMMON SCHOOLS,COMMON SCHOOLS,78.939999999999998,157.879999999999995,,N/A
ND,Commissioner of University and School Lands,Subsurface,"440 Stat. 676-684, esp. 679-81 (1889)",126541,2811100,MCLEAN,149,88,18,NE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"441 Stat. 676-684, esp. 679-81 (1889)",126545,2811090,MCLEAN,149,88,17,NW4NW4,A,COMMON SCHOOLS,COMMON SCHOOLS,20.000000000000000,40.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"442 Stat. 676-684, esp. 679-81 (1889)",126599,2908000,MERCER,146,87,5,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,9.680000000000000,9.680000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"443 Stat. 676-684, esp. 679-81 (1889)",126680,2811380,MCLEAN,149,89,19,E2SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,40.000000000000000,80.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"444 Stat. 676-684, esp. 679-81 (1889)",126685,2811420,MCLEAN,149,89,20,W2SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,40.000000000000000,80.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"445 Stat. 676-684, esp. 679-81 (1889)",126686,2811410,MCLEAN,149,89,20,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
