object_id,state,reservation_name,clipped_acres,lessee
25376,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.05,
25378,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.08,
25369,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.27,
25370,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.32,
25368,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.04,
25371,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.11,
25375,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.05,
25372,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.48,
25374,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.55,
25373,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.05,
25919,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.23,
25920,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.98,
25379,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.86,
25918,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.67,
25917,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.1,
25365,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.14,
25364,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.11,
25363,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.7,
25362,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.64,
25907,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.07,
25906,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.07,
25344,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.98,
25345,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.97,
26097,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.81,
26082,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.58,
26096,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.93,
26083,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.58,
25351,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.82,
25348,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.03,
26094,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.93,
26085,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.53,
25350,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.95,
25921,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.72,
25922,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.9,
25923,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.3,
25916,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.72,
26137,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.43,
26136,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.37,
25358,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.85,
26138,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.28,
26139,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.29,
25359,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.07,
25349,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.06,
26095,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.63,
26084,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.32,
25361,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.11,
26131,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.11,
25360,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
26132,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.81,
25911,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.94,
25908,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.97,
25910,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.03,
25909,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.39,
25912,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.08,
25913,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.46,
25914,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.37,
25915,OK,Kiowa-Comanche-Apache-Fort Sill Apache,37.73,
25352,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.43,
25927,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.43,
25928,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.38,
25926,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.02,
25397,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.33,
25357,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.03,
25353,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.98,
25356,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.2,
25354,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.28,
25355,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.15,
25395,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.64,
25394,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.04,
25925,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.99,
25924,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.12,
26135,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.78,
25396,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.84,
26140,OK,Kiowa-Comanche-Apache-Fort Sill Apache,34.06,
26086,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.04,
26088,OK,Kiowa-Comanche-Apache-Fort Sill Apache,37.06,
26087,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.97,
26089,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.23,
26093,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.99,
26090,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.15,
26092,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.14,
26091,OK,Kiowa-Comanche-Apache-Fort Sill Apache,38.36,
25407,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.05,
25406,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.43,
25929,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.12,
25930,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.03,
25932,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.68,
25931,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.69,
25399,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.48,
25400,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.59,
25398,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.29,
25401,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.07,
25207,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.95,
25197,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.95,
25198,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.55,
25135,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.87,
25965,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.04,
25229,OK,Kiowa-Comanche-Apache-Fort Sill Apache,42.1,
25222,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.45,
25221,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.57,
25192,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.19,
25193,OK,Kiowa-Comanche-Apache-Fort Sill Apache,41.86,
25948,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.31,
25950,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.19,
25949,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.23,
25964,OK,Kiowa-Comanche-Apache-Fort Sill Apache,39.7,
25963,OK,Kiowa-Comanche-Apache-Fort Sill Apache,40.44,
