state,managing_agency,rights_type,state_enabling_act,OBJECTID,TIMBER_TRU,trust_name,state_reported_notes,,,,,,
WA,Department of Natural Resources,Timber,"84 Stat. 676-684, esp. 679-81 (1889)",5368,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"85 Stat. 676-684, esp. 679-81 (1889)",5400,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"86 Stat. 676-684, esp. 679-81 (1889)",5564,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"87 Stat. 676-684, esp. 679-81 (1889)",5699,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"88 Stat. 676-684, esp. 679-81 (1889)",5716,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"89 Stat. 676-684, esp. 679-81 (1889)",5719,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"90 Stat. 676-684, esp. 679-81 (1889)",5720,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"91 Stat. 676-684, esp. 679-81 (1889)",5721,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"92 Stat. 676-684, esp. 679-81 (1889)",5722,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"93 Stat. 676-684, esp. 679-81 (1889)",5723,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"94 Stat. 676-684, esp. 679-81 (1889)",5763,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"95 Stat. 676-684, esp. 679-81 (1889)",5766,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"96 Stat. 676-684, esp. 679-81 (1889)",5767,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"97 Stat. 676-684, esp. 679-81 (1889)",5768,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"98 Stat. 676-684, esp. 679-81 (1889)",5769,10,Scientific School,,,,,,,
WA,Department of Natural Resources,Timber,"99 Stat. 676-684, esp. 679-81 (1889)",5770,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"100 Stat. 676-684, esp. 679-81 (1889)",5772,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"101 Stat. 676-684, esp. 679-81 (1889)",5774,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"102 Stat. 676-684, esp. 679-81 (1889)",5999,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"103 Stat. 676-684, esp. 679-81 (1889)",6069,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"104 Stat. 676-684, esp. 679-81 (1889)",6308,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"105 Stat. 676-684, esp. 679-81 (1889)",6333,10,Scientific School,,,,,,,
