OBJECTID,PARCEL_SYS,PARCEL_TYP,PARCEL_LAB,PARCEL_NM,REVERSION_,OWN_RIGHT_,SURFACE_RI,MINERAL_RI,TIMBER_RIG,SURFACE_TR,MINERAL_TR,TIMBER_TRU,OWNER_AGEN,STEWARD_AG,MANAGER_AG,TIMBER_OWN,TIMBER_EXP,ORIGINAL_P,COUNTY_JUR,COUNTY_PAR,REGION_JUR,HCP_JURISD,HCP_DESG_C,HCP_DESG_D,HCP_WITHDR,PARCEL_DES,EDIT_DATE,EDIT_STATU,EDIT_WHO,EASEMENT_T,PARCEL_ACQ,PARCEL_DIS,SHAPE.AREA,SHAPE.LEN
5772,10517,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",2005/09/24 03:00:00.000,,,2012/02/28 03:00:00.000,"1",jdug490,,CLEAR LIST 11 INDEMNITY,,20350331.045357499271631,20970.917336702201283
5773,10531,1,,,N,N,N,Y,N,"0","3","0",58706,63986,63986,,,,39,,100,,"2",,1997/01/30 03:00:00.000,,2012/02/28 03:00:00.000,"1",jdug490,,CLEAR LIST 11 INDEMNITY,,7161288.695728000253439,10708.046520257701559
5774,10512,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2012/02/28 03:00:00.000,"1",jdug490,,,,12338516.753461500629783,18586.993841725499806
5999,116909,1,,,N,N,Y,Y,Y,"75","10","75",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2017/03/09 15:10:22.000,"1",JDUG490,,CLEAR LIST 5 SCIENTIFIC SPLIT 3034 PER 86-091402 02-090360,,10496368.585203999653459,15964.638362036901526
6069,3035,1,,,N,N,Y,Y,Y,"6","6","6",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2015/07/22 20:37:14.000,"1",JDUG490,,86-000166,,1839684.286370000103489,5426.453614352799377
6308,10537,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2015/07/27 16:59:09.000,"1",JDUG490,,,,12234585.399004500359297,15807.648919749997731
6333,116908,1,,,N,N,Y,Y,Y,"10","3","10",58706,63986,63986,,,,39,,100,,"1",1997/01/30 03:00:00.000,,,2015/07/27 16:59:09.000,"1",JDUG490,,SPLIT 10537 PER 86-091402,,1520870.934274999890476,4946.813623082280174
6349,2966,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2018/06/20 20:25:07.000,"1",TSTE490,,,,14242640.954889999702573,15776.157729249600379
6480,2971,1,,,N,N,Y,Y,Y,"8","8","8",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2018/06/20 20:25:07.000,"1",TSTE490,,86-000166,,5571072.085280000232160,10932.829434497100010
6482,2958,1,,,N,N,Y,Y,Y,"3","3","3",58706,63986,63986,,,,20,,100,,"1",1997/01/30 03:00:00.000,,,2018/06/20 20:25:07.000,"1",TSTE490,,US PATENT NO 46-70-0085,,28632104.196410000324249,21214.051540769098210
