state,managing_agency,rights_type,state_enabling_act,OBJECTID,MINERAL_TR,,state_reported_notes,,
WA,Department of Natural Resources,Subsurface,"86 Stat. 676-684, esp. 679-81 (1889)",4544,5,University - Transferred,,,
WA,Department of Natural Resources,Subsurface,"87 Stat. 676-684, esp. 679-81 (1889)",4878,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"88 Stat. 676-684, esp. 679-81 (1889)",4916,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"89 Stat. 676-684, esp. 679-81 (1889)",5305,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"90 Stat. 676-684, esp. 679-81 (1889)",5368,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"91 Stat. 676-684, esp. 679-81 (1889)",5400,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"92 Stat. 676-684, esp. 679-81 (1889)",5560,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"93 Stat. 676-684, esp. 679-81 (1889)",5564,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"94 Stat. 676-684, esp. 679-81 (1889)",5722,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"95 Stat. 676-684, esp. 679-81 (1889)",5723,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"96 Stat. 676-684, esp. 679-81 (1889)",5763,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"97 Stat. 676-684, esp. 679-81 (1889)",5767,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"98 Stat. 676-684, esp. 679-81 (1889)",5768,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"99 Stat. 676-684, esp. 679-81 (1889)",5769,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"100 Stat. 676-684, esp. 679-81 (1889)",5770,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"101 Stat. 676-684, esp. 679-81 (1889)",5771,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"102 Stat. 676-684, esp. 679-81 (1889)",5772,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"103 Stat. 676-684, esp. 679-81 (1889)",5773,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"104 Stat. 676-684, esp. 679-81 (1889)",5774,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"105 Stat. 676-684, esp. 679-81 (1889)",5999,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"106 Stat. 676-684, esp. 679-81 (1889)",6069,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"107 Stat. 676-684, esp. 679-81 (1889)",6308,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"108 Stat. 676-684, esp. 679-81 (1889)",6333,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"109 Stat. 676-684, esp. 679-81 (1889)",6349,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"110 Stat. 676-684, esp. 679-81 (1889)",6480,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"111 Stat. 676-684, esp. 679-81 (1889)",6482,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"112 Stat. 676-684, esp. 679-81 (1889)",6569,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"113 Stat. 676-684, esp. 679-81 (1889)",6703,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"114 Stat. 676-684, esp. 679-81 (1889)",6788,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"115 Stat. 676-684, esp. 679-81 (1889)",6858,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"116 Stat. 676-684, esp. 679-81 (1889)",6861,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"117 Stat. 676-684, esp. 679-81 (1889)",41,9,Escheat,,,
WA,Department of Natural Resources,Subsurface,"118 Stat. 676-684, esp. 679-81 (1889)",221,9,Escheat,,,
WA,Department of Natural Resources,Subsurface,"119 Stat. 676-684, esp. 679-81 (1889)",251,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"120 Stat. 676-684, esp. 679-81 (1889)",252,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"121 Stat. 676-684, esp. 679-81 (1889)",313,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"122 Stat. 676-684, esp. 679-81 (1889)",316,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"123 Stat. 676-684, esp. 679-81 (1889)",317,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"124 Stat. 676-684, esp. 679-81 (1889)",318,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"125 Stat. 676-684, esp. 679-81 (1889)",369,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"126 Stat. 676-684, esp. 679-81 (1889)",375,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"127 Stat. 676-684, esp. 679-81 (1889)",379,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"128 Stat. 676-684, esp. 679-81 (1889)",472,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"129 Stat. 676-684, esp. 679-81 (1889)",587,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"130 Stat. 676-684, esp. 679-81 (1889)",614,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"131 Stat. 676-684, esp. 679-81 (1889)",666,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"132 Stat. 676-684, esp. 679-81 (1889)",884,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"133 Stat. 676-684, esp. 679-81 (1889)",987,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"134 Stat. 676-684, esp. 679-81 (1889)",1112,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"135 Stat. 676-684, esp. 679-81 (1889)",1171,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"136 Stat. 676-684, esp. 679-81 (1889)",1204,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"137 Stat. 676-684, esp. 679-81 (1889)",1241,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"138 Stat. 676-684, esp. 679-81 (1889)",1434,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"139 Stat. 676-684, esp. 679-81 (1889)",1562,5,University - Transferred,,,
WA,Department of Natural Resources,Subsurface,"140 Stat. 676-684, esp. 679-81 (1889)",1578,75,Natural Resources Conservation Area,,,
WA,Department of Natural Resources,Subsurface,"141 Stat. 676-684, esp. 679-81 (1889)",1646,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"142 Stat. 676-684, esp. 679-81 (1889)",1693,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"143 Stat. 676-684, esp. 679-81 (1889)",1843,3,Common School and Indemnity,Oil & gas reserved,,
WA,Department of Natural Resources,Subsurface,"144 Stat. 676-684, esp. 679-81 (1889)",1844,3,Common School and Indemnity,Oil & gas deferred,,
WA,Department of Natural Resources,Subsurface,"145 Stat. 676-684, esp. 679-81 (1889)",1845,3,Common School and Indemnity,Oil & gas reserved,,
WA,Department of Natural Resources,Subsurface,"146 Stat. 676-684, esp. 679-81 (1889)",1874,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"147 Stat. 676-684, esp. 679-81 (1889)",2152,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"148 Stat. 676-684, esp. 679-81 (1889)",18112,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"149 Stat. 676-684, esp. 679-81 (1889)",18268,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"150 Stat. 676-684, esp. 679-81 (1889)",18443,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"151 Stat. 676-684, esp. 679-81 (1889)",18481,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"152 Stat. 676-684, esp. 679-81 (1889)",18512,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"153 Stat. 676-684, esp. 679-81 (1889)",18523,3,Common School and Indemnity,,,
