SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,ADMINISTRA,ADMINIST_1,MGTPRGPRJ,MGTPRJNAME,MGTPRGCODE,MGTPRGNAME,ADMPRGPRJA,DNRTRNXNUM,T_CLOSINGD,SU_CTYPIN_,DATA_DOWNL,Shape_Leng,Shape_Area
137083.00000000000,"137083",137083.00000000000,Northeast,Koochiching,"36","64","0","23","30","24","6","36064023300006","3606402330",SENW,forty/glot-level,18.87000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1198.56869505000,78118.83607540000
137703.00000000000,"137703",137703.00000000000,Northeast,Koochiching,"36","66","0","23","25","11","1","36066023250001","3606602325",NENE,forty/glot-level,55.98000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1949.73701920000,230655.96092600000
137704.00000000000,"137704",137704.00000000000,Northeast,Koochiching,"36","66","0","23","25","12","2","36066023250002","3606602325",NWNE,forty/glot-level,56.32000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1954.46588234000,231610.67215500001
137705.00000000000,"137705",137705.00000000000,Northeast,Koochiching,"36","66","0","23","25","21","3","36066023250003","3606602325",NENW,forty/glot-level,56.68000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1959.26073210000,232576.56177199999
137706.00000000000,"137706",137706.00000000000,Northeast,Koochiching,"36","66","0","23","26","11","1","36066023260001","3606602326",NENE,forty/glot-level,57.03000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1955.74041707000,231438.87900099999
137707.00000000000,"137707",137707.00000000000,Northeast,Koochiching,"36","66","0","23","26","12","2","36066023260002","3606602326",NWNE,forty/glot-level,56.69000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1943.36158646000,228959.55109900000
137708.00000000000,"137708",137708.00000000000,Northeast,Koochiching,"36","66","0","23","26","21","3","36066023260003","3606602326",NENW,forty/glot-level,56.35000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1931.05360812000,226491.57445200000
137709.00000000000,"137709",137709.00000000000,Northeast,Koochiching,"36","66","0","23","26","22","4","36066023260004","3606602326",NWNW,forty/glot-level,56.01000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1918.81672542000,224035.03534100001
137209.00000000000,"137209",137209.00000000000,Northeast,Koochiching,"36","65","0","23","6","12","6","36065023060006","3606502306",NWNE,forty/glot-level,24.33000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1300.21731049000,99291.90855860000
137211.00000000000,"137211",137211.00000000000,Northeast,Koochiching,"36","65","0","23","6","13","10","36065023060010","3606502306",SWNE,forty/glot-level,24.99000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",,,,,,,,,11-15-2023,1314.11617789000,102097.55231499999
