OBJECTID,SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,SU_NETACRE,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,OMITTYPES,PRINTACRES,MOWNSTATUS,MOWNSTAT_1,LANDCLASS,MRECTYPE,MRECTYPECO,SURFACEOFF,LAST_OFFER,LAST_PROCE,LAST_PRO_1,DATA_DOWNL,Shape_Leng,Shape_Area
"217558",200293.00000000000,"200293",200293.00000000000,Northwest,Mahnomen,"44","146","0","39","24","23","0","44146039242300","4414603924",SWNW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1624.34600948000,164772.35242600000
"217559",200294.00000000000,"200294",200294.00000000000,Northwest,Mahnomen,"44","146","0","39","24","24","0","44146039242400","4414603924",SENW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1622.69035472000,164437.63546100000
"217560",200295.00000000000,"200295",200295.00000000000,Northwest,Mahnomen,"44","146","0","39","24","31","0","44146039243100","4414603924",NESW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1622.82330078000,164477.30869400001
"217561",200296.00000000000,"200296",200296.00000000000,Northwest,Mahnomen,"44","146","0","39","24","32","0","44146039243200","4414603924",NWSW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1624.42244958000,164800.61926100001
"217562",200297.00000000000,"200297",200297.00000000000,Northwest,Mahnomen,"44","146","0","39","24","33","0","44146039243300","4414603924",SWSW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1624.48676680000,164825.47424899999
"217563",200298.00000000000,"200298",200298.00000000000,Northwest,Mahnomen,"44","146","0","39","24","34","0","44146039243400","4414603924",SESW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1622.88799549000,164502.44879900001
"217564",200299.00000000000,"200299",200299.00000000000,Northwest,Mahnomen,"44","146","0","39","24","41","0","44146039244100","4414603924",NESE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1619.53927156000,163813.58526200001
"217565",200300.00000000000,"200300",200300.00000000000,Northwest,Mahnomen,"44","146","0","39","24","42","0","44146039244200","4414603924",NWSE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1621.19529587000,164148.37751100000
"217566",200301.00000000000,"200301",200301.00000000000,Northwest,Mahnomen,"44","146","0","39","24","43","0","44146039244300","4414603924",SWSE,forty/glot-level,40.00000000000,"0","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1621.26019070000,164173.75418900000
"217576",200768.00000000000,"200768",200768.00000000000,Northwest,Mahnomen,"44","146","0","40","30","31","0","44146040303100","4414604030",NESW,forty/glot-level,40.00000000000,"100","1","1",40.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1612.04326126000,162407.79845000000
