state,managing_agency,rights_type,state_enabling_act,SU_SUID,county,township,RDIR,RANG,section,aliquot,acres,percent_owned,trust_name
MN,Department of Natural Resources,Surface,3523 Stat. 166-167 (1857); 11 Stat. 285 (1858),123947,Itasca,147,0,29,18,SESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3524 Stat. 166-167 (1857); 11 Stat. 285 (1858),123948,Itasca,147,0,29,19,NENE,18.28,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,3525 Stat. 166-167 (1857); 11 Stat. 285 (1858),123949,Itasca,147,0,29,19,NWNE,32.29,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3526 Stat. 166-167 (1857); 11 Stat. 285 (1858),123950,Itasca,147,0,29,19,SWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3527 Stat. 166-167 (1857); 11 Stat. 285 (1858),123951,Itasca,147,0,29,19,NENW,6.99,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,3528 Stat. 166-167 (1857); 11 Stat. 285 (1858),123952,Itasca,147,0,29,19,SWSW,50.1,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3529 Stat. 166-167 (1857); 11 Stat. 285 (1858),123953,Itasca,147,0,29,19,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3530 Stat. 166-167 (1857); 11 Stat. 285 (1858),123954,Itasca,147,0,29,19,NESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3531 Stat. 166-167 (1857); 11 Stat. 285 (1858),123955,Itasca,147,0,29,19,NWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3532 Stat. 166-167 (1857); 11 Stat. 285 (1858),123956,Itasca,147,0,29,19,SWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3533 Stat. 166-167 (1857); 11 Stat. 285 (1858),123957,Itasca,147,0,29,19,SESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3534 Stat. 166-167 (1857); 11 Stat. 285 (1858),123958,Itasca,147,0,29,20,NENE,15.91,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,3535 Stat. 166-167 (1857); 11 Stat. 285 (1858),123959,Itasca,147,0,29,20,SENE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3536 Stat. 166-167 (1857); 11 Stat. 285 (1858),123960,Itasca,147,0,29,20,NENW,21.31,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,3537 Stat. 166-167 (1857); 11 Stat. 285 (1858),123961,Itasca,147,0,29,20,NESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3538 Stat. 166-167 (1857); 11 Stat. 285 (1858),123962,Itasca,147,0,29,20,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3539 Stat. 166-167 (1857); 11 Stat. 285 (1858),123963,Itasca,147,0,29,20,NESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3540 Stat. 166-167 (1857); 11 Stat. 285 (1858),123964,Itasca,147,0,29,20,NWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3541 Stat. 166-167 (1857); 11 Stat. 285 (1858),123965,Itasca,147,0,29,20,SWSE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3542 Stat. 166-167 (1857); 11 Stat. 285 (1858),123966,Itasca,147,0,29,20,SESE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3543 Stat. 166-167 (1857); 11 Stat. 285 (1858),123968,Itasca,147,0,29,21,NENW,9.91,100,TRUST FUND: IND SCHOOL
MN,Department of Natural Resources,Surface,3544 Stat. 166-167 (1857); 11 Stat. 285 (1858),123969,Itasca,147,0,29,21,NWNW,34.22,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3545 Stat. 166-167 (1857); 11 Stat. 285 (1858),123970,Itasca,147,0,29,21,SWNW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3546 Stat. 166-167 (1857); 11 Stat. 285 (1858),123971,Itasca,147,0,29,21,NESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3547 Stat. 166-167 (1857); 11 Stat. 285 (1858),123972,Itasca,147,0,29,21,NWSW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3548 Stat. 166-167 (1857); 11 Stat. 285 (1858),123973,Itasca,147,0,29,21,SWSW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3549 Stat. 166-167 (1857); 11 Stat. 285 (1858),123974,Itasca,147,0,29,21,SESW,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3550 Stat. 166-167 (1857); 11 Stat. 285 (1858),123976,Itasca,147,0,29,22,NENE,36.5,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3551 Stat. 166-167 (1857); 11 Stat. 285 (1858),123977,Itasca,147,0,29,22,NWNE,37.5,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3552 Stat. 166-167 (1857); 11 Stat. 285 (1858),123978,Itasca,147,0,29,22,SWNE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3553 Stat. 166-167 (1857); 11 Stat. 285 (1858),123979,Itasca,147,0,29,22,SENE,40,100,TRUST FUND: SWAMP
MN,Department of Natural Resources,Surface,3554 Stat. 166-167 (1857); 11 Stat. 285 (1858),123981,Itasca,147,0,29,22,NENW,38.5,100,TRUST FUND: SWAMP
