objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,block_id,globalid,Shape__Are,Shape__Len
416604,"4",6.000000000000000,19.000000000000000,"16","24",UINT,Uintah,"12",UNIV,"4","1",PART OF TRACT 47 [AKA PART OF E2NE4],48.219999999999999,4T6.0R19.0S16C24_B12PT0L4_SQ1,Undefined,{F630ABB6-CB48-4EBF-80CB-39DA05ED13E4},168558.439849991089432,2240.060358241457379
416605,"4",6.000000000000000,19.000000000000000,"36","24",UINT,Uintah,"10",SCH,"4","1","N2, SW4, N2SE4",560.000000000000000,4T6.0R19.0S36C24_B10PT0L4_SQ1,Undefined,{F2C85C69-AB57-4F7E-BEDB-8791327C3882},2258720.140599830076098,6427.229991131054703
416606,"4",6.000000000000000,20.000000000000000,"2","24",UINT,Uintah,"10",SCH,"4","1","LOTS 1(6.61), 2(6.71), SE4NE4, SE4 [LOTS AKA N2NE4]",213.319999999999993,4T6.0R20.0S2C24_B10PT0L4_SQ1,Undefined,{B752B60E-169D-4CBA-9C2C-A8F840F2B754},897126.494300009799190,5054.193090138003754
416607,"4",6.000000000000000,20.000000000000000,"2","24",UINT,Uintah,"10",SCH,"4","2","LOTS 3(6.81), 4(6.91), SW4NE4, S2NW4, SW4 [LOTS AKA N2NW4]",293.720000000000027,4T6.0R20.0S2C24_B10PT0L4_SQ2,Undefined,{D987F0A7-6EAB-497F-9536-B3C1BEEB33BC},1226341.344200203893706,5040.792306335084504
416608,"4",6.000000000000000,20.000000000000000,"16","24",UINT,Uintah,"10",SCH,"4","1",ALL,640.000000000000000,4T6.0R20.0S16C24_B10PT0L4_SQ1,Undefined,{4E9DCB14-CF49-414C-9489-6885921FD037},2647576.717100010253489,6499.510055472475869
416609,"4",6.000000000000000,20.000000000000000,"32","24",UINT,Uintah,"10",SCH,"4","1","W2NE4, E2NW4, W2SW4",240.000000000000000,4T6.0R20.0S32C24_B10PT0L4_SQ1,Undefined,{77789A60-8E91-47E3-8500-11F90366114A},997581.083650523796678,5712.084585253521254
416610,"4",6.000000000000000,20.000000000000000,"36","24",UINT,Uintah,"10",SCH,"4","1",ALL,640.000000000000000,4T6.0R20.0S36C24_B10PT0L4_SQ1,Undefined,{D3095F97-1831-498F-9295-A859D5298C22},2613675.619598537217826,6468.724967289114829
416611,"4",6.000000000000000,21.000000000000000,"2","24",UINT,Uintah,"10",SCH,"4","1","LOTS 1(44.91), 2(45.46), 3(46.00), 4(38.49), 5(36.09), 6(38.84), E2SW4, SE4 [ALL]",489.790000000000020,4T6.0R21.0S2C24_B10PT0L4_SQ1,Asphalt Ridge Block,{E18F09A3-BEA4-4E56-A228-EA9CDBD3A683},1989674.822850052034482,5676.768778377979288
416612,"4",6.000000000000000,21.000000000000000,"13","24",UINT,Uintah,"10",SCH,"4","2",LOT 10 [PART OF SW4NW4],22.199999999999999,4T6.0R21.0S13C24_B10PT0L4_SQ2,Undefined,{A2D620C5-3E65-4366-A33B-582C6EBCDFCC},98231.481100356773823,1633.485602636351132
416613,"4",6.000000000000000,21.000000000000000,"14","24",UINT,Uintah,"10",SCH,"4","1","LOTS 5(33.70), 6(16.50), 9(42.80), NE4SE4 [LOTS AKA PART OF SE4NE4, PART OF E2NW4SE4, PART OF SE4SE4]",133.000000000000000,4T6.0R21.0S14C24_B10PT0L4_SQ1,Undefined,{8F00C53F-769F-4CD0-A473-BAE8B5FEB0C8},536412.883400198770687,3414.551735786033532
