objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,admin,quad_lbl,merid,trs_label,globalid,gis_acres,block_id,Shape__Are,Shape__Len
291793,"4",15.000000000000000,24.000000000000000,"2","24",UINT,Uintah,"10",SCH,"1","1","LOTS 1(40.65), 2(40.57), 3(40.51), 4(40.43), S2N2, S2 [ALL]",642.159999999999968,4T15.0R24.0S2C24_B10PT0L1_SQ1,,,,,{A711E07F-A2DC-4B79-9DA8-343A6C38C5B4},642.346050669999954,Undefined,2599482.240550915244967,6448.989174759562047
291811,"4",12.000000000000000,25.000000000000000,"18","24",UINT,Uintah,"10",SCH,"1","5",SE4,160.000000000000000,4T12.0R25.0S18C24_B10PT0L1_SQ5,,,,,{B79BDEA6-26F8-43BD-BB14-7106DEEBDFBA},159.261623100000008,Holliday Block,644508.922299613594078,3211.447092214427357
291830,"4",6.000000000000000,21.000000000000000,"16","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T6.0R21.0S16C24_B10PT0L1_SQ1,,,,,{28EEF38E-DC55-4B2E-9B66-230615D2BE92},641.662113019999993,Undefined,2596714.443100719247013,6445.997454254300465
291836,"4",11.000000000000000,25.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1","LOTS 1(16.26), 2(40.00), 3(40.00), 4(40.00), 5(40.00), 6(40.00), 7(40.00), 8(15.78), 9(15.65), 10(40.00), 11(40.00), 12(40.00), 13(40.00), 14(40.00), 15(40.00), 16(15.71), W2 [ALL]",863.399999999999977,4T11.0R25.0S36C24_B10PT0L1_SQ1,,,,,{45973E82-1A68-401C-9F3F-962A9368E33F},867.068637579999972,Undefined,3508902.284649345558137,7581.510711814231399
291846,"4",9.000000000000000,25.000000000000000,"14","24",UINT,Uintah,"10",SCH,"1","1",N2,320.000000000000000,4T9.0R25.0S14C24_B10PT0L1_SQ1,,,,,{8E1038DE-23C3-43B3-B20A-6449A16107A9},317.455957819999981,Bonanza Block,1284698.681749473093078,4786.796430252594291
291850,"4",9.000000000000000,21.000000000000000,"31","24",UINT,Uintah,"10",SCH,"1","3",LOT 5 (S2SW4SW4),14.520000000000000,4T9.0R21.0S31C24_B10PT0L1_SQ3,,,,,{7C39A3BF-BBAD-4883-A341-9F0CB0BC35F3},15.988752420000001,Natural Buttes Block,64704.185400306123483,1282.270309708565037
291863,"4",10.000000000000000,22.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T10.0R22.0S36C24_B10PT0L1_SQ1,,,,,{B9B1ABD6-CB8F-4FB5-ADF4-3739BB1E7FAD},637.129556490000027,Natural Buttes Block,2578371.837600337807089,6422.954370436561476
291889,"7",1.000000000000000,9.000000000000000,"30","26",WSTH,Wasatch,"10",SCH,"1","1","LOTS 1-4, E2, E2W2 (ALL)",629.279999999999973,7T1.0R9.0S30C26_B10PT0L1_SQ1,,,,,{419CDC0F-3227-41C7-8433-D78D69B540AB},635.948478410000007,Tabby Mountain Block,2573592.184150193817914,6421.557285410650366
291892,"4",13.000000000000000,23.000000000000000,"10","24",UINT,Uintah,"10",SCH,"1","1","NE4NE4SE4SE4	",2.500000000000000,4T13.0R23.0S10C24_B10PT0L1_SQ1,,,,,{7E7EB86C-6124-409E-9004-909DDAAD7D6E},2.475937200000000,Seep Ridge Block,10019.762349979513601,400.417916392437235
291898,"7",1.000000000000000,9.000000000000000,"32","26",WSTH,Wasatch,"10",SCH,"1","1",ALL,640.000000000000000,7T1.0R9.0S32C26_B10PT0L1_SQ1,,,,,{0228A9AE-6811-4879-8977-6245F9B4F597},630.787379539999961,Tabby Mountain Block,2552705.958049394655973,6390.963117655865062
291903,"4",9.000000000000000,21.000000000000000,"32","24",UINT,Uintah,"10",SCH,"1","1","LOTS 2(46.78), 3(47.62), 4(48.48), N2, N2S2 [LOTS AKA S2SW4, SW4SE4]",668.799999999999955,4T9.0R21.0S32C24_B10PT0L1_SQ1,,,,,{E1975FEE-286A-449E-871F-84DA96EF767F},678.459225710000055,Natural Buttes Block,2745627.074900593608618,6644.561430166711943
