objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,block_id,globalid,Shape__Are,Shape__Len
406386,"4",5.000000000000000,22.000000000000000,"33","24",UINT,Uintah,"10",SCH,"2","1","E2, NW4NW4, S2NW4, SW4",600.000000000000000,4T5.0R22.0S33C24_B10PT0L2_SQ1,Asphalt Ridge Block,{1074CEDE-C691-46E7-B0BB-664A6F9A9A41},2464460.985399687197059,7296.478446950727630
406387,"4",5.000000000000000,22.000000000000000,"34","24",UINT,Uintah,"10",SCH,"2","1",ALL,640.000000000000000,4T5.0R22.0S34C24_B10PT0L2_SQ1,Asphalt Ridge Block,{1A208947-482A-4E6B-96F0-DB02DB3C03CA},2666341.964250221848488,6524.946071446400310
406388,"4",5.000000000000000,22.000000000000000,"35","24",UINT,Uintah,"10",SCH,"2","1","S2NE4, NW4, S2",560.000000000000000,4T5.0R22.0S35C24_B10PT0L2_SQ1,Asphalt Ridge Block,{9F7D3FAE-FF4C-4F75-B505-73619090A597},2310440.681149566546082,6499.953389084927039
406403,"4",5.000000000000000,23.000000000000000,"36","24",UINT,Uintah,"10",SCH,"2","1",ALL,640.000000000000000,4T5.0R23.0S36C24_B10PT0L2_SQ1,Undefined,{F31BFCFD-C745-4CEF-A50B-C309272650A7},2644178.470399150159210,6502.571905547197275
406436,"4",6.000000000000000,19.000000000000000,"2","24",UINT,Uintah,"10",SCH,"2","1","LOTS 1(7.54), 2(7.50), 3(7.46), 4(7.42), S2N2, S2 [ALL] [ALSO KNOWN AS TRACT 37]",509.920000000000016,4T6.0R19.0S2C24_B10PT0L2_SQ1,Undefined,{7D610B70-10CE-4F5B-9875-9643B861C3FC},2064087.040550330420956,5784.602197464277197
406437,"4",6.000000000000000,19.000000000000000,"10","24",UINT,Uintah,"12",UNIV,"2","1","PART OF TRACT 44, LESS ROW [AKA PART OF S2SW4, PART OF SE4]",125.629999999999995,4T6.0R19.0S10C24_B12PT0L2_SQ1,Undefined,{0BCD0E4C-E1B7-4457-8C98-F1936021390F},500380.918800102197565,5834.401622322388903
406438,"4",6.000000000000000,19.000000000000000,"11","24",UINT,Uintah,"12",UNIV,"2","1","PART OF TRACT 44, LESS ROW [AKA PART OF SW4NW4, PART OF W2SW4]",76.799999999999997,4T6.0R19.0S11C24_B12PT0L2_SQ1,Undefined,{37FEA181-C770-440B-88A2-5A397C01CEAA},338234.553150521649513,3743.504530308865014
406439,"4",6.000000000000000,19.000000000000000,"14","24",UINT,Uintah,"12",UNIV,"2","1",PART OF TRACT 44 [AKA PART OF NW4NW4NW4],6.170000000000000,4T6.0R19.0S14C24_B12PT0L2_SQ1,Undefined,{81DAA29D-7AF8-4D70-B89C-9BC4424B9C81},14014.114049974245063,602.576442242241910
406440,"4",6.000000000000000,19.000000000000000,"15","24",UINT,Uintah,"12",UNIV,"2","1","PART OF TRACT 44, PART OF TRACT 47, LESS ROW [AKA PART OF N2N2, PART OF W2SW4NW4, PART OF W2W2SW4]",109.510000000000005,4T6.0R19.0S15C24_B12PT0L2_SQ1,Undefined,{4623ECAA-144B-486A-89B8-7D5330D1E88F},435746.356550966331270,6957.314411536652187
406441,"4",6.000000000000000,19.000000000000000,"16","24",UINT,Uintah,"12",UNIV,"2","1",PART OF TRACT 47 [AKA PART OF E2NE4],48.219999999999999,4T6.0R19.0S16C24_B12PT0L2_SQ1,Undefined,{F2CEC679-0ED7-406B-9C00-BE7E24FDFE50},168558.439849991089432,2240.060358241457379
