state,managing_agency,rights_type,state_enabling_act,activity,objectid,township,range,section,county,bene_cd,bene_abrev,legal_desc,acres
UT,Trust Lands Administration,Subsurface,48 Stat. 107-110 (1894),Oil and gas,406383,5,22,31,Uintah,10,SCH,LOT 4 [SW4SW4],39.969999999999999
UT,Trust Lands Administration,Subsurface,49 Stat. 107-110 (1894),Oil and gas,406385,5,22,32,Uintah,10,SCH,"N2, SE4",480.000000000000000
UT,Trust Lands Administration,Subsurface,50 Stat. 107-110 (1894),Oil and gas,406386,5,22,33,Uintah,10,SCH,"E2, NW4NW4, S2NW4, SW4",600.000000000000000
UT,Trust Lands Administration,Subsurface,51 Stat. 107-110 (1894),Oil and gas,406387,5,22,34,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,52 Stat. 107-110 (1894),Oil and gas,406388,5,22,35,Uintah,10,SCH,"S2NE4, NW4, S2",560.000000000000000
UT,Trust Lands Administration,Subsurface,53 Stat. 107-110 (1894),Oil and gas,406403,5,23,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,54 Stat. 107-110 (1894),Oil and gas,406436,6,19,2,Uintah,10,SCH,"LOTS 1(7.54), 2(7.50), 3(7.46), 4(7.42), S2N2, S2 [ALL] [ALSO KNOWN AS TRACT 37]",509.920000000000016
UT,Trust Lands Administration,Subsurface,55 Stat. 107-110 (1894),Oil and gas,406437,6,19,10,Uintah,12,UNIV,"PART OF TRACT 44, LESS ROW [AKA PART OF S2SW4, PART OF SE4]",125.629999999999995
UT,Trust Lands Administration,Subsurface,56 Stat. 107-110 (1894),Oil and gas,406438,6,19,11,Uintah,12,UNIV,"PART OF TRACT 44, LESS ROW [AKA PART OF SW4NW4, PART OF W2SW4]",76.799999999999997
UT,Trust Lands Administration,Subsurface,57 Stat. 107-110 (1894),Oil and gas,406439,6,19,14,Uintah,12,UNIV,PART OF TRACT 44 [AKA PART OF NW4NW4NW4],6.170000000000000
UT,Trust Lands Administration,Subsurface,58 Stat. 107-110 (1894),Oil and gas,406440,6,19,15,Uintah,12,UNIV,"PART OF TRACT 44, PART OF TRACT 47, LESS ROW [AKA PART OF N2N2, PART OF W2SW4NW4, PART OF W2W2SW4]",109.510000000000005
UT,Trust Lands Administration,Subsurface,59 Stat. 107-110 (1894),Oil and gas,406441,6,19,16,Uintah,12,UNIV,PART OF TRACT 47 [AKA PART OF E2NE4],48.219999999999999
UT,Trust Lands Administration,Subsurface,60 Stat. 107-110 (1894),Oil and gas,406442,6,19,36,Uintah,10,SCH,"N2, SW4, N2SE4",560.000000000000000
UT,Trust Lands Administration,Subsurface,61 Stat. 107-110 (1894),Oil and gas,406443,6,20,2,Uintah,10,SCH,"LOTS 1(6.61), 2(6.71), SE4NE4, SE4 [LOTS AKA N2NE4]",213.319999999999993
UT,Trust Lands Administration,Subsurface,62 Stat. 107-110 (1894),Oil and gas,406444,6,20,2,Uintah,10,SCH,"LOTS 3(6.81), 4(6.91), SW4NE4, S2NW4, SW4 [LOTS AKA N2NW4]",293.720000000000027
UT,Trust Lands Administration,Subsurface,63 Stat. 107-110 (1894),Oil and gas,406445,6,20,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,64 Stat. 107-110 (1894),Oil and gas,406446,6,20,32,Uintah,10,SCH,"W2NE4, E2NW4, W2SW4",240.000000000000000
UT,Trust Lands Administration,Subsurface,65 Stat. 107-110 (1894),Oil and gas,406447,6,20,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,66 Stat. 107-110 (1894),Oil and gas,406448,6,21,2,Uintah,10,SCH,"LOTS 1(44.91), 2(45.46), 3(46.00), 4(38.49), 5(36.09), 6(38.84), E2SW4, SE4 [ALL]",489.790000000000020
UT,Trust Lands Administration,Subsurface,67 Stat. 107-110 (1894),Oil and gas,406449,6,21,13,Uintah,10,SCH,LOT 10 [PART OF SW4NW4],22.199999999999999
UT,Trust Lands Administration,Subsurface,68 Stat. 107-110 (1894),Oil and gas,406450,6,21,14,Uintah,10,SCH,"LOTS 5(33.70), 6(16.50), 9(42.80), NE4SE4 [LOTS AKA PART OF SE4NE4, PART OF E2NW4SE4, PART OF SE4SE4]",133.000000000000000
UT,Trust Lands Administration,Subsurface,69 Stat. 107-110 (1894),Oil and gas,406451,6,21,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,70 Stat. 107-110 (1894),Oil and gas,406452,6,21,27,Uintah,10,SCH,LOT 4 [PART OF SW4NE4],34.000000000000000
UT,Trust Lands Administration,Subsurface,71 Stat. 107-110 (1894),Oil and gas,406453,6,21,28,Uintah,2,DEAF,LOT 1 [NE4NW4],39.020000000000003
UT,Trust Lands Administration,Subsurface,72 Stat. 107-110 (1894),Oil and gas,406454,6,21,28,Uintah,9,RES,LOT 2 [PART OF NW4NW4],28.480000000000000
UT,Trust Lands Administration,Subsurface,73 Stat. 107-110 (1894),Oil and gas,406455,6,21,29,Uintah,9,RES,LOT 4 [PART OF SW4NE4],40.549999999999997
