objectid,state,managing_agency,rights_type,state_enabling_act,comboown,activity,aliquot,acres,township,township,townd,range,section,county,benemin,gis_acres,trust_name
1440292,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,4S,4,S,3W,24,Duchesne,SCH,642.719,Public Schools
1440297,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,S2,320,4S,4,S,6W,35,Duchesne,SCH,315.782,Public Schools
1440301,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,N2SE4,80,4S,4,S,6W,4,Duchesne,SCH,79.782,Public Schools
1440304,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 3(38.76), 5(8.28) [PART OF NE4NW4, PART OF SE4NW4NW4]",47.04,7S,7,S,21E,1,Uintah,SCH,42.731,Public Schools
1440312,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,S2SE4,80,13S,13,S,23E,12,Uintah,SCH,80.014,Public Schools
1440320,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 2(25.18), 3(13.44), 9(21.51) [AKA W2SW4]",60.13,9S,9,S,24E,24,Uintah,SCH,59.024,Public Schools
1440321,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOT 13(42.71), SE4SE4 [LOT PART OF SW4SE4]",82.71,7S,7,S,20E,24,Uintah,DEAF,82.722,Utah Schools for the Deaf
1440324,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"S2NE4, N2SW4",160,11S,11,S,18E,33,Uintah,SCH,159.11,Public Schools
1440330,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOT 13(27.39), N2NE4 [LOT PART OF SE4NE4]",107.39,7S,7,S,20E,25,Uintah,DEAF,107.06,Utah Schools for the Deaf
1440334,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 9(23.45), 10(36.76) [AKA PART OF S2NW4SW4, SW4SW4]",60.21,7S,7,S,21E,19,Uintah,DEAF,60.887,Utah Schools for the Deaf
1440335,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,N2NW4,80,11S,11,S,18E,34,Uintah,SCH,80.455,Public Schools
1440339,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,4S,4,S,3W,22,Duchesne,SCH,647.361,Public Schools
1440344,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 9(15.96), 11(38.72) [AKA S2NW4SE4, SE4SE4]",54.68,9S,9,S,24E,23,Uintah,SCH,53.636,Public Schools
1440345,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,LOT  2 [NW4NW4],40.77,11S,11,S,10E,18,Duchesne,SCH,40.129,Public Schools
1440349,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 5(42.55), 6(42.45), E2, E2NW4 [LOTS AKA W2NW4]",485,10S,10,S,21E,18,Uintah,SCH,494.692,Public Schools
1440362,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,N2S2,160,3S,3,S,9W,26,Duchesne,SCH,159.191,Public Schools
1440363,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 2(35.33), 3(27.30), 4(13.00), 5(19.70), 6(14.30) [AKA PART OF N2NE4, PART OF SW4NE4, PART OF W2NW4, PART OF SE4NW4]",109.63,7S,7,S,21E,30,Uintah,DEAF,108.145,Utah Schools for the Deaf
1440367,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4SE4,40,9S,9,S,24E,3,Uintah,SCH,39.936,Public Schools
1440370,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"S2SW4, SW4SE4",120,3S,3,S,9W,24,Duchesne,SCH,121.571,Public Schools
1440371,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,10S,10,S,20E,25,Uintah,SCH,640.228,Public Schools
1440384,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"NE4, SE4NW4, S2",520,4S,4,S,3W,15,Duchesne,SCH,521.509,Public Schools
1440387,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4SE4SW4,10,10S,10,S,24E,1,Uintah,SCH,9.996,Public Schools
1440392,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"NE4, NE4NW4, S2NW4, S2",600,4S,4,S,3W,21,Duchesne,SCH,595.021,Public Schools
1440395,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"SE4NW4, NW4SW4",80,14S,14,S,22E,10,Uintah,SCH,79.949,Public Schools
1440405,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,S2NW4,80,9S,9,S,24E,1,Uintah,SCH,80.221,Public Schools
1440406,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,LOT 4 [PART OF NW4NW4],16.43,7S,7,S,21E,29,Uintah,DEAF,17.206,Utah Schools for the Deaf
1440409,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NW4SW4,40,4S,4,S,6W,3,Duchesne,SCH,40.1,Public Schools
1440410,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NE4NW4,40,9S,9,S,23E,13,Uintah,SCH,39.878,Public Schools
1440412,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOT 3(41.17), SE4NW4 [LOT AKA NE4NW4]",81.17,7S,7,S,20E,4,Uintah,SCH,81.51,Public Schools
1440415,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,10S,10,S,21E,17,Uintah,SCH,650.219,Public Schools
1440420,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 1(40.11), 2(40.09), 3(40.07), 4(40.05), W2NE4, E2W2, SE4 [LOTS AKA W2W2]",560.32,4S,4,S,2W,19,Duchesne,SCH,557.51,Public Schools
1440421,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"SW4, SW4SE4",200,7S,7,S,20E,15,Uintah,SCH,202.276,Public Schools
1440424,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,W2NW4,80,9S,9,S,22E,29,Uintah,SCH,79.77,Public Schools
1440431,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 4(23.54), 7(16.41), 8(20.24) [AKA S2SW4NE4, SE4NW4, NE4SE4, N2NW4SE4]",60.19,9S,9,S,24E,23,Uintah,SCH,65.201,Public Schools
1440435,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SE4SW4,40,4S,4,S,3W,16,Duchesne,SCH,39.763,Public Schools
1440441,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SE4SW4,40,4S,4,S,3W,29,Duchesne,SM,39.139,College of Mines and Earth Sciences
1440442,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"NE4NE4, NW4NW4, S2N2, S2",560,4S,4,S,3W,14,Duchesne,SCH,561.291,Public Schools
1440446,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,LOT 5 [PART OF SW4SE4],36.7,6S,6,S,21E,25,Uintah,SCH,35.076,Public Schools
1440450,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"SW4NE4, W2, W2SE4, SE4SE4",480,4S,4,S,3W,13,Duchesne,SCH,482.441,Public Schools
1440455,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SE4,160,4S,4,S,6W,14,Duchesne,SCH,155.998,Public Schools
1440459,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,LOT 4 [NW4NW4],33.87,9S,9,S,24E,6,Uintah,SCH,33.816,Public Schools
1440464,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SE4NW4,40,7S,7,S,20E,18,Uintah,UNIV,40.411,University of Utah
1440473,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,N2NW4,80,5S,5,S,3W,7,Duchesne,SCH,81.019,Public Schools
1440474,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NE4SE4,40,12S,12,S,24E,34,Uintah,SCH,39.931,Public Schools
1440480,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 3(8.78), 4(22.81) [AKA PART OF NE4NW4]",31.59,4S,4,S,4W,1,Duchesne,SCH,37.53,Public Schools
1440484,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOT 2(18.87), NW4SW4, SE4SW4, NW4SE4, SE4SE4 [AKA SW4NE4]",178.87,11S,11,S,9E,10,Utah,SCH,178.679,Public Schools
1440495,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(39.97), 2(40.04), 3(40.10), 4(40.17), S2N2, S2 [ALL]",640.28,12S,12,S,21E,2,Uintah,SCH,641.682,Public Schools
1440500,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",LOT 1 [SE4SE4],45.92,9S,9,S,21E,32,Uintah,SCH,48.914,Public Schools
1440505,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,15S,15,S,25E,36,Grand,SCH,639.415,Public Schools
