state,managing_agency,rights_type,state_enabling_act,objectid,township,range,section,county,bene_cd,bene_abrev,aliquot,acres
UT,Trust Lands Administration,Surface,115 Stat. 107-110 (1894),290806,14,21,6,Uintah,10,SCH,"LOTS 1(40.21), 2(40.13), 3(40.04), 4(37.43), 5(37.74), 6(37.57), 7(37.28), S2NE4, SE4NW4, E2SW4, SE4 [ALL]",630.399999999999977
UT,Trust Lands Administration,Surface,116 Stat. 107-110 (1894),290807,11,17,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,117 Stat. 107-110 (1894),290872,10,18,18,Uintah,10,SCH,NW4NE4,40.000000000000000
UT,Trust Lands Administration,Surface,118 Stat. 107-110 (1894),290887,13,23,31,Uintah,10,SCH,"LOTS 1(37.26), 2(37.28), 3(37.32), 4(37.34), NE4, E2W2, N2SE4, SW4SE4 [LOTS AKA W2W2]",589.200000000000045
UT,Trust Lands Administration,Surface,119 Stat. 107-110 (1894),290925,8,18,36,Uintah,10,SCH,ALL,630.320000000000050
UT,Trust Lands Administration,Surface,120 Stat. 107-110 (1894),290954,7,22,2,Uintah,10,SCH,ALL,736.039999999999964
UT,Trust Lands Administration,Surface,121 Stat. 107-110 (1894),291000,13,23,7,Uintah,10,SCH,"LOTS 1(35.78), 2(35.88), 3(36.00), 4(36.10), E2, E2W2 [ALL]",623.759999999999991
UT,Trust Lands Administration,Surface,122 Stat. 107-110 (1894),291122,13,23,23,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,123 Stat. 107-110 (1894),291126,6,22,3,Uintah,10,SCH,LOT 1 [S2NE4NE4],7.310000000000000
UT,Trust Lands Administration,Surface,124 Stat. 107-110 (1894),291127,10,18,2,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,125 Stat. 107-110 (1894),291132,13,23,8,Uintah,10,SCH,"N2NE4, SW4NE4, N2SE4NE4, N2S2SE4NE4, NW4, NW4NE4NE4SW4, N2NW4NE4SW4, N2NE4NW4SW4, W2W2SW4, SW4NE4SW4SW4, W2SE4SW4SW4",370.000000000000000
UT,Trust Lands Administration,Surface,126 Stat. 107-110 (1894),291237,9,19,32,Uintah,10,SCH,ALL,476.290000000000020
UT,Trust Lands Administration,Surface,127 Stat. 107-110 (1894),291316,9,25,11,Uintah,10,SCH,"S2N2, S2",480.000000000000000
UT,Trust Lands Administration,Surface,128 Stat. 107-110 (1894),291322,9,18,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,129 Stat. 107-110 (1894),291360,18,18,16,Grand,10,SCH,"LOTS 1, 2, 3, 4",55.869999999999997
UT,Trust Lands Administration,Surface,130 Stat. 107-110 (1894),291393,12,25,18,Uintah,10,SCH,E2NE4,80.000000000000000
UT,Trust Lands Administration,Surface,131 Stat. 107-110 (1894),291398,13,23,17,Uintah,10,SCH,SE4SE4SE4SE4,2.500000000000000
UT,Trust Lands Administration,Surface,132 Stat. 107-110 (1894),291461,6,21,27,Uintah,10,SCH,LOT 4 [PART OF SW4NE4],34.000000000000000
UT,Trust Lands Administration,Surface,133 Stat. 107-110 (1894),291467,7,25,2,Uintah,10,SCH,ALL,882.019999999999982
UT,Trust Lands Administration,Surface,134 Stat. 107-110 (1894),291471,7,25,32,Uintah,10,SCH,ALL,640.000000000000000
