gis_acres,state,managing_agency,rights_type,township,range,section,county,bene_cd,bene_abrev,aliquot,acres,state_enabling_act,object_id
882.007,UT,Trust Lands Administration,Surface,7,23,2,Uintah,10,Public Schools,"LOTS 1(20.80), 2(20.82), 3(20.86), 4(20.88), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(40.00), 10(40.00), 11(40.00), 12(40.00), S2N2, S2 [ALL]",883.360000000000014,28 Stat. 107-110 (1894),18
639.558,UT,Trust Lands Administration,Surface,15,23,2,Uintah,10,Public Schools,"LOTS 1(40.58), 2(40.51), 3(40.43), 4(40.36), S2N2, S2 [ALL]",641.879999999999995,28 Stat. 107-110 (1894),19
642.266,UT,Trust Lands Administration,Surface,7,22,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),20
629.112,UT,Trust Lands Administration,Surface,13,23,30,Uintah,10,Public Schools,"LOTS 1(37.12), 2(37.15), 3(37.19), 4(37.22), E2, E2W2 [ALL]",628.679999999999950,28 Stat. 107-110 (1894),21
642.629,UT,Trust Lands Administration,Surface,12,25,2,Uintah,10,Public Schools,"LOTS 1(40.10), 2(40.07), 3(40.03), 4(40.00), S2N2, S2 [ALL]",640.200000000000045,28 Stat. 107-110 (1894),22
639.543,UT,Trust Lands Administration,Surface,15,16,36,Carbon,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),23
73.657,UT,Trust Lands Administration,Surface,6,24,6,Uintah,10,Public Schools,"LOTS 6(36.87), 7(35.62), W2W2SW4SE4SW4 [LOTS AKA W2SW4]",74.989999999999995,28 Stat. 107-110 (1894),24
544.377,UT,Trust Lands Administration,Surface,13,23,29,Uintah,10,Public Schools,"NE4NE4, NE4NW4NE4, NE4NW4NW4NE4, S2NW4NW4NE4, S2NW4NE4, S2NE4, S2NE4NE4NW4, S2NE4NW4, SE4NW4, S2",542.500000000000000,28 Stat. 107-110 (1894),25
634.963,UT,Trust Lands Administration,Surface,13,20,2,Uintah,10,Public Schools,ALL,641.039999999999964,28 Stat. 107-110 (1894),26
159.88,UT,Trust Lands Administration,Surface,10,25,16,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),27
318.722,UT,Trust Lands Administration,Surface,12,24,26,Uintah,10,Public Schools,E2,320.000000000000000,28 Stat. 107-110 (1894),28
191.562,UT,Trust Lands Administration,Surface,9,25,36,Uintah,10,Public Schools,"LOTS 1-4, W2SW4",200.900000000000006,28 Stat. 107-110 (1894),29
642.776,UT,Trust Lands Administration,Surface,15,23,12,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),30
107.85,UT,Trust Lands Administration,Surface,14,23,6,Uintah,10,Public Schools,"LOTS 3(36.27), 4(33.84), 5(37.34) [AKA N2NW4, SW4NW4]",107.450000000000003,28 Stat. 107-110 (1894),31
640.007,UT,Trust Lands Administration,Surface,14,23,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),32
650.655,UT,Trust Lands Administration,Surface,10,21,21,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),33
639.497,UT,Trust Lands Administration,Surface,12,21,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),34
639.063,UT,Trust Lands Administration,Surface,10,23,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),35
159.292,UT,Trust Lands Administration,Surface,12,24,12,Uintah,10,Public Schools,S2S2,160.000000000000000,28 Stat. 107-110 (1894),36
650.103,UT,Trust Lands Administration,Surface,10,21,29,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),37
650.849,UT,Trust Lands Administration,Surface,10,21,33,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),38
324.398,UT,Trust Lands Administration,Surface,9,25,15,Uintah,10,Public Schools,N2,320.000000000000000,28 Stat. 107-110 (1894),39
160.302,UT,Trust Lands Administration,Surface,9,25,19,Uintah,10,Public Schools,SW4,160.000000000000000,28 Stat. 107-110 (1894),40
640.05,UT,Trust Lands Administration,Surface,12,24,28,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),41
641.245,UT,Trust Lands Administration,Surface,13,22,12,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),42
247.516,UT,Trust Lands Administration,Surface,13,23,2,Uintah,10,Public Schools,"LOTS 1, 2, 5, 6, SE4NE4NW4, N2NE4SE4NW4, SE4NE4SE4NW4, E2SE4SE4NW4, E2NE4NE4SW4, W2W2SE4, N2NE4NW4SE4, N2N2NE4SE4, S2NE4
",248.090000000000003,28 Stat. 107-110 (1894),43
640.556,UT,Trust Lands Administration,Surface,13,21,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),44
121.185,UT,Trust Lands Administration,Surface,10,11,36,Duchesne,10,Public Schools,ALL,121.189999999999998,28 Stat. 107-110 (1894),45
639.571,UT,Trust Lands Administration,Surface,11,22,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),46
638.731,UT,Trust Lands Administration,Surface,12,24,33,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),47
637.147,UT,Trust Lands Administration,Surface,15,22,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),48
473.452,UT,Trust Lands Administration,Surface,13,21,31,Uintah,10,Public Schools,"LOTS 3(36.99), 4(37.22), E2, E2SW4 [LOTS AKA W2SW4]",474.209999999999980,28 Stat. 107-110 (1894),49
638.984,UT,Trust Lands Administration,Surface,15,21,27,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),50
615.341,UT,Trust Lands Administration,Surface,11,19,2,Uintah,10,Public Schools,ALL,625.620000000000005,28 Stat. 107-110 (1894),51
482.539,UT,Trust Lands Administration,Surface,9,25,9,Uintah,10,Public Schools,"S2N2, S2",480.000000000000000,28 Stat. 107-110 (1894),52
625.665,UT,Trust Lands Administration,Surface,13,20,35,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),53
319.744,UT,Trust Lands Administration,Surface,12,25,31,Uintah,10,Public Schools,E2,320.000000000000000,28 Stat. 107-110 (1894),54
559.201,UT,Trust Lands Administration,Surface,13,23,22,Uintah,10,Public Schools,"NE4NE4NE4NE4, S2NE4NE4NE4, S2NW4NE4NE4, S2NE4NE4, S2NE4NW4NE4, S2NW4NE4, S2NE4, NE4SW4NE4NW4, S2SW4NE4NW4, SE4NE4NW4, S2SE4NW4NW4, S2NW4, S2",560.000000000000000,28 Stat. 107-110 (1894),55
86.642,UT,Trust Lands Administration,Surface,10,13,32,Duchesne,10,Public Schools,LOTS 1-4 (ALL),85.760000000000005,28 Stat. 107-110 (1894),56
641.787,UT,Trust Lands Administration,Surface,12,21,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),57
632.991,UT,Trust Lands Administration,Surface,11,20,2,Uintah,10,Public Schools,ALL,638.500000000000000,28 Stat. 107-110 (1894),58
625.317,UT,Trust Lands Administration,Surface,13,20,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),59
636.064,UT,Trust Lands Administration,Surface,15,22,31,Uintah,10,Public Schools,"LOTS 1(39.95), 2(39.96), 3(39.98), 4(39.99), E2, E2W2 [ALL]",639.879999999999995,28 Stat. 107-110 (1894),60
641.123,UT,Trust Lands Administration,Surface,12,25,17,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),61
550.757,UT,Trust Lands Administration,Surface,14,21,7,Uintah,10,Public Schools,"LOTS 1(37.35), 2(37.48), 3(37.62), 4(37.75), W2NE4, E2W2, SE4 [LOTS AKA W2W2]",550.200000000000045,28 Stat. 107-110 (1894),62
639.577,UT,Trust Lands Administration,Surface,14,25,2,Uintah,10,Public Schools,ALL,639.279999999999973,28 Stat. 107-110 (1894),63
641.106,UT,Trust Lands Administration,Surface,14,25,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),64
478.518,UT,Trust Lands Administration,Surface,15,21,34,Uintah,10,Public Schools,"N2, NE4SW4, N2SE4, SE4SE4",480.000000000000000,28 Stat. 107-110 (1894),65
635.753,UT,Trust Lands Administration,Surface,11,20,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),66
638.234,UT,Trust Lands Administration,Surface,7,22,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),67
438.745,UT,Trust Lands Administration,Surface,15,26,32,Grand,10,Public Schools,"LOTS 1(28.99), 2(29.13), 3(29.27), 4(29.41), S2 [ALL]",436.800000000000011,28 Stat. 107-110 (1894),68
620.043,UT,Trust Lands Administration,Surface,18,20,16,Grand,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),69
623.781,UT,Trust Lands Administration,Surface,14,22,1,Uintah,10,Public Schools,"LOTS 1(36.19), 2(36.14), 3(36.08), 4(36.03), S2N2, S2 [ALL]",624.440000000000055,28 Stat. 107-110 (1894),70
560.696,UT,Trust Lands Administration,Surface,11,24,32,Uintah,10,Public Schools,"N2NE4, SE4NE4, W2, W2SE4, SE4SE4",560.000000000000000,28 Stat. 107-110 (1894),71
323.628,UT,Trust Lands Administration,Surface,10,19,16,Uintah,10,Public Schools,S2,320.000000000000000,28 Stat. 107-110 (1894),72
456.743,UT,Trust Lands Administration,Surface,15,21,35,Grand,10,Public Schools,"LOTS 1(33.76), 2(33.77), 3(33.77), 4(33.78), S2 [ALL]",455.079999999999984,28 Stat. 107-110 (1894),73
307.292,UT,Trust Lands Administration,Surface,15,21,36,Grand,10,Public Schools,"LOTS 3(33.85), 4(33.79), SW4, W2SE4 [LOTS AKA S2NW4]",307.639999999999986,28 Stat. 107-110 (1894),74
639.499,UT,Trust Lands Administration,Surface,11,24,2,Uintah,10,Public Schools,"LOTS 1(39.92), 2(39.94), 3(39.94), 4(39.96), S2N2, S2 [ALL]",639.759999999999991,28 Stat. 107-110 (1894),75
640.006,UT,Trust Lands Administration,Surface,12,20,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),76
640.69,UT,Trust Lands Administration,Surface,12,22,2,Uintah,10,Public Schools,"LOTS 1(40.01), 2(40.05), 3(40.07), 4(40.11), S2N2, S2 [ALL]",640.240000000000009,28 Stat. 107-110 (1894),77
39.842,UT,Trust Lands Administration,Surface,16,21,8,Grand,10,Public Schools,NW4NE4,40.000000000000000,28 Stat. 107-110 (1894),78
157.773,UT,Trust Lands Administration,Surface,12,25,19,Uintah,10,Public Schools,NW4,160.000000000000000,28 Stat. 107-110 (1894),79
559.951,UT,Trust Lands Administration,Surface,14,21,8,Uintah,10,Public Schools,"NE4, E2NW4, S2",560.000000000000000,28 Stat. 107-110 (1894),80
712.173,UT,Trust Lands Administration,Surface,13,25,2,Uintah,10,Public Schools,ALL,711.159999999999968,28 Stat. 107-110 (1894),81
640.368,UT,Trust Lands Administration,Surface,7,24,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),82
638.667,UT,Trust Lands Administration,Surface,12,24,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),83
641.954,UT,Trust Lands Administration,Surface,13,22,2,Uintah,10,Public Schools,"LOTS 1(40.08), 2(40.18), 3(40.26), 4(40.36), S2N2, S2 [ALL]",640.879999999999995,28 Stat. 107-110 (1894),84
39.893,UT,Trust Lands Administration,Surface,14,24,5,Uintah,10,Public Schools,NW4SW4,40.000000000000000,28 Stat. 107-110 (1894),85
479.869,UT,Trust Lands Administration,Surface,15,24,19,Uintah,10,Public Schools,"LOTS 1(39.92), 2(39.91), 3(39.91), 4(39.90), NE4, SE4SW4, NE4SE4, S2SE4 [LOTS AKA W2W2]",479.639999999999986,28 Stat. 107-110 (1894),86
637.031,UT,Trust Lands Administration,Surface,15,21,35,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),87
628.508,UT,Trust Lands Administration,Surface,14,21,6,Uintah,10,Public Schools,"LOTS 1(40.21), 2(40.13), 3(40.04), 4(37.43), 5(37.74), 6(37.57), 7(37.28), S2NE4, SE4NW4, E2SW4, SE4 [ALL]",630.399999999999977,28 Stat. 107-110 (1894),88
640.863,UT,Trust Lands Administration,Surface,11,17,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),89
40.022,UT,Trust Lands Administration,Surface,10,18,18,Uintah,10,Public Schools,NW4NE4,40.000000000000000,28 Stat. 107-110 (1894),90
589.098,UT,Trust Lands Administration,Surface,13,23,31,Uintah,10,Public Schools,"LOTS 1(37.26), 2(37.28), 3(37.32), 4(37.34), NE4, E2W2, N2SE4, SW4SE4 [LOTS AKA W2W2]",589.200000000000045,28 Stat. 107-110 (1894),91
630.612,UT,Trust Lands Administration,Surface,8,18,36,Uintah,10,Public Schools,ALL,630.320000000000050,28 Stat. 107-110 (1894),92
734.365,UT,Trust Lands Administration,Surface,7,22,2,Uintah,10,Public Schools,ALL,736.039999999999964,28 Stat. 107-110 (1894),93
624.292,UT,Trust Lands Administration,Surface,13,23,7,Uintah,10,Public Schools,"LOTS 1(35.78), 2(35.88), 3(36.00), 4(36.10), E2, E2W2 [ALL]",623.759999999999991,28 Stat. 107-110 (1894),94
639.601,UT,Trust Lands Administration,Surface,13,23,23,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),95
7.236,UT,Trust Lands Administration,Surface,6,22,3,Uintah,10,Public Schools,LOT 1 [S2NE4NE4],7.310000000000000,28 Stat. 107-110 (1894),96
641.587,UT,Trust Lands Administration,Surface,10,18,2,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),97
371.296,UT,Trust Lands Administration,Surface,13,23,8,Uintah,10,Public Schools,"N2NE4, SW4NE4, N2SE4NE4, N2S2SE4NE4, NW4, NW4NE4NE4SW4, N2NW4NE4SW4, N2NE4NW4SW4, W2W2SW4, SW4NE4SW4SW4, W2SE4SW4SW4",370.000000000000000,28 Stat. 107-110 (1894),98
478.806,UT,Trust Lands Administration,Surface,9,19,32,Uintah,10,Public Schools,ALL,476.290000000000020,28 Stat. 107-110 (1894),99
470.435,UT,Trust Lands Administration,Surface,9,25,11,Uintah,10,Public Schools,"S2N2, S2",480.000000000000000,28 Stat. 107-110 (1894),100
639.606,UT,Trust Lands Administration,Surface,9,18,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),101
55.859,UT,Trust Lands Administration,Surface,18,18,16,Grand,10,Public Schools,"LOTS 1, 2, 3, 4",55.869999999999997,28 Stat. 107-110 (1894),102
79.795,UT,Trust Lands Administration,Surface,12,25,18,Uintah,10,Public Schools,E2NE4,80.000000000000000,28 Stat. 107-110 (1894),103
2.51,UT,Trust Lands Administration,Surface,13,23,17,Uintah,10,Public Schools,SE4SE4SE4SE4,2.500000000000000,28 Stat. 107-110 (1894),104
34.528,UT,Trust Lands Administration,Surface,6,21,27,Uintah,10,Public Schools,LOT 4 [PART OF SW4NE4],34.000000000000000,28 Stat. 107-110 (1894),105
878.543,UT,Trust Lands Administration,Surface,7,25,2,Uintah,10,Public Schools,ALL,882.019999999999982,28 Stat. 107-110 (1894),106
640.173,UT,Trust Lands Administration,Surface,7,25,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),107
639.074,UT,Trust Lands Administration,Surface,6,24,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),108
7.387,UT,Trust Lands Administration,Surface,6,22,3,Uintah,10,Public Schools,LOT 2 [S2NW4NE4],7.530000000000000,28 Stat. 107-110 (1894),109
35.076,UT,Trust Lands Administration,Surface,6,21,25,Uintah,10,Public Schools,LOT 5 [PART OF SW4SE4],36.700000000000003,28 Stat. 107-110 (1894),110
640.089,UT,Trust Lands Administration,Surface,8,24,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),111
625.736,UT,Trust Lands Administration,Surface,9,15,2,Duchesne,10,Public Schools,"LOTS 1(40.28), 2(40.35), 3(40.43), 4(23.68), 5(36.33), S2NE4, SE4NW4, S2 [ALL]",621.070000000000050,28 Stat. 107-110 (1894),112
632.005,UT,Trust Lands Administration,Surface,9,22,2,Uintah,10,Public Schools,"LOTS 1(38.30), 2(38.50), 3(38.70), 4(38.90), S2N2, S2 [ALL]",634.399999999999977,28 Stat. 107-110 (1894),113
558.429,UT,Trust Lands Administration,Surface,6,19,36,Uintah,10,Public Schools,"N2, SW4, N2SE4",560.000000000000000,28 Stat. 107-110 (1894),114
7.644,UT,Trust Lands Administration,Surface,6,22,3,Uintah,10,Public Schools,LOT 4 [S2NW4NW4],7.970000000000000,28 Stat. 107-110 (1894),115
9.004,UT,Trust Lands Administration,Surface,13,23,9,Uintah,10,Public Schools,"SW4SW4NW4NW4, W2NW4SW4NW4, NW4SW4SW4NW4",10.000000000000000,28 Stat. 107-110 (1894),116
640.249,UT,Trust Lands Administration,Surface,12,22,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),117
79.355,UT,Trust Lands Administration,Surface,12,25,18,Uintah,10,Public Schools,N2NW4,80.000000000000000,28 Stat. 107-110 (1894),118
39.878,UT,Trust Lands Administration,Surface,9,23,13,Uintah,10,Public Schools,NE4NW4,40.000000000000000,28 Stat. 107-110 (1894),119
7.535,UT,Trust Lands Administration,Surface,6,22,3,Uintah,10,Public Schools,LOT 3 [S2NE4NW4],7.750000000000000,28 Stat. 107-110 (1894),120
631.428,UT,Trust Lands Administration,Surface,1,9,19,Wasatch,10,Public Schools,"LOTS 1-4, E2, E2W2 (ALL)",628.480000000000018,28 Stat. 107-110 (1894),121
645.746,UT,Trust Lands Administration,Surface,1,8,17,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),122
706.769,UT,Trust Lands Administration,Surface,11,23,2,Uintah,10,Public Schools,"LOTS 1(18.11), 2(18.17), 3(18.23), 4(18.29), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(38.60), 10(32.81), SW4NE4, S2NW4, SW4, W2SE4, SE4SE4 [ALL]",704.210000000000036,28 Stat. 107-110 (1894),123
397.694,UT,Trust Lands Administration,Surface,1,10,11,Wasatch,10,Public Schools,"S2NW4, S2",400.000000000000000,28 Stat. 107-110 (1894),124
639.182,UT,Trust Lands Administration,Surface,7,23,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),125
642.746,UT,Trust Lands Administration,Surface,9,23,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),126
473.227,UT,Trust Lands Administration,Surface,1,10,22,Wasatch,10,Public Schools,"N2, SE4",480.000000000000000,28 Stat. 107-110 (1894),127
320.121,UT,Trust Lands Administration,Surface,16,21,4,Grand,10,Public Schools,E2,321.519999999999982,28 Stat. 107-110 (1894),128
34.108,UT,Trust Lands Administration,Surface,15,22,31,Grand,10,Public Schools,LOT 1 (SE4NE4),34.259999999999998,28 Stat. 107-110 (1894),129
642.481,UT,Trust Lands Administration,Surface,15,24,2,Uintah,10,Public Schools,"LOTS 1(40.65), 2(40.57), 3(40.51), 4(40.43), S2N2, S2 [ALL]",642.159999999999968,28 Stat. 107-110 (1894),130
159.291,UT,Trust Lands Administration,Surface,12,25,18,Uintah,10,Public Schools,SE4,160.000000000000000,28 Stat. 107-110 (1894),131
641.939,UT,Trust Lands Administration,Surface,6,21,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),132
867.176,UT,Trust Lands Administration,Surface,11,25,36,Uintah,10,Public Schools,"LOTS 1(16.26), 2(40.00), 3(40.00), 4(40.00), 5(40.00), 6(40.00), 7(40.00), 8(15.78), 9(15.65), 10(40.00), 11(40.00), 12(40.00), 13(40.00), 14(40.00), 15(40.00), 16(15.71), W2 [ALL]",863.399999999999977,28 Stat. 107-110 (1894),133
317.498,UT,Trust Lands Administration,Surface,9,25,14,Uintah,10,Public Schools,N2,320.000000000000000,28 Stat. 107-110 (1894),134
15.996,UT,Trust Lands Administration,Surface,9,21,31,Uintah,10,Public Schools,LOT 5 (S2SW4SW4),14.520000000000000,28 Stat. 107-110 (1894),135
637.342,UT,Trust Lands Administration,Surface,10,22,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),136
636.457,UT,Trust Lands Administration,Surface,1,9,30,Wasatch,10,Public Schools,"LOTS 1-4, E2, E2W2 (ALL)",629.279999999999973,28 Stat. 107-110 (1894),137
2.477,UT,Trust Lands Administration,Surface,13,23,10,Uintah,10,Public Schools,"NE4NE4SE4SE4	",2.500000000000000,28 Stat. 107-110 (1894),138
631.292,UT,Trust Lands Administration,Surface,1,9,32,Wasatch,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),139
678.755,UT,Trust Lands Administration,Surface,9,21,32,Uintah,10,Public Schools,"LOTS 2(46.78), 3(47.62), 4(48.48), N2, N2S2 [LOTS AKA S2SW4, SW4SE4]",668.799999999999955,28 Stat. 107-110 (1894),140
639.857,UT,Trust Lands Administration,Surface,14,25,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),141
657.792,UT,Trust Lands Administration,Surface,5,20,32,Uintah,10,Public Schools,"LOTS 1(45.11), 2(44.84), 3(44.58), 4(44.31), N2, N2S2 [ALL]",658.840000000000032,28 Stat. 107-110 (1894),142
653.587,UT,Trust Lands Administration,Surface,9,20,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),143
240.847,UT,Trust Lands Administration,Surface,1,10,12,Wasatch,10,Public Schools,"SW4, S2SE4",240.000000000000000,28 Stat. 107-110 (1894),144
51.382,UT,Trust Lands Administration,Surface,9,21,31,Uintah,10,Public Schools,LOT 3 (NW4SW4),50.469999999999999,28 Stat. 107-110 (1894),145
39.82,UT,Trust Lands Administration,Surface,16,21,5,Grand,10,Public Schools,SW4SE4,40.000000000000000,28 Stat. 107-110 (1894),146
35.176,UT,Trust Lands Administration,Surface,1,8,18,Duchesne,10,Public Schools,LOT 4 [SW4SW4],35.090000000000003,28 Stat. 107-110 (1894),147
277.94,UT,Trust Lands Administration,Surface,1,10,10,Wasatch,10,Public Schools,"S2SW4, SE4, SE4NE4",280.000000000000000,28 Stat. 107-110 (1894),148
883.086,UT,Trust Lands Administration,Surface,7,24,2,Uintah,10,Public Schools,ALL,884.399999999999977,28 Stat. 107-110 (1894),149
79.533,UT,Trust Lands Administration,Surface,10,22,25,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),150
586.317,UT,Trust Lands Administration,Surface,1,8,18,Duchesne,10,Public Schools,"LOTS 1(35.01), 2(35.04), 3(35.06), E2, E2W2 [LOTS AKA W2NW4, NW4SW4]",585.110000000000014,28 Stat. 107-110 (1894),151
640.425,UT,Trust Lands Administration,Surface,9,17,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),152
641.36,UT,Trust Lands Administration,Surface,14,16,36,Carbon,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),153
651.082,UT,Trust Lands Administration,Surface,1,9,27,Duchesne,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),154
631.427,UT,Trust Lands Administration,Surface,1,9,31,Wasatch,10,Public Schools,"LOTS 1-4, E2, E2W2 (ALL)",630.080000000000041,28 Stat. 107-110 (1894),155
664.911,UT,Trust Lands Administration,Surface,6,22,10,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),156
79.869,UT,Trust Lands Administration,Surface,10,22,25,Uintah,10,Public Schools,S2SE4,80.000000000000000,28 Stat. 107-110 (1894),157
7.51,UT,Trust Lands Administration,Surface,6,22,5,Uintah,10,Public Schools,LOT 3 (S2S2NE4NW4),7.560000000000000,28 Stat. 107-110 (1894),158
159.978,UT,Trust Lands Administration,Surface,9,25,33,Uintah,10,Public Schools,NE4,160.000000000000000,28 Stat. 107-110 (1894),159
80.215,UT,Trust Lands Administration,Surface,6,22,6,Uintah,10,Public Schools,S2NE4,80.000000000000000,28 Stat. 107-110 (1894),160
659.106,UT,Trust Lands Administration,Surface,5,22,34,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),161
