OBJECTID,state,managing_agency,rights_type,state_enabling_act,Acres,trust_name
703,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",159.93,School and Public Lands
705,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",325.68,School and Public Lands
706,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",322.35,School and Public Lands
711,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",167.08,School and Public Lands
712,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",639.24,School and Public Lands
714,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",329.3,School and Public Lands
715,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",158.89,School and Public Lands
716,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",161.97,School and Public Lands
717,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",1666.75,School and Public Lands
718,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",29.69,School and Public Lands
719,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",340.99,School and Public Lands
731,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",329.99,School and Public Lands
763,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",158.85,School and Public Lands
1191,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",77.48,School and Public Lands
443,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",641.26,School and Public Lands
444,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",637.2,School and Public Lands
445,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",637.54,School and Public Lands
446,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",642.04,School and Public Lands
447,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",158.91,School and Public Lands
448,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",484.51,School and Public Lands
449,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",490.25,School and Public Lands
450,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",645.83,School and Public Lands
451,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",644.5,School and Public Lands
452,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",640.18,School and Public Lands
453,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",642.37,School and Public Lands
454,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",567.44,School and Public Lands
455,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",652.25,School and Public Lands
456,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",642.01,School and Public Lands
