OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe
15520,"0",FL,Y,"1",39.960000000000001,39.960000000000001,"26",PG00029D,AQ29,"3","2","1",,39.984098449999998,"1","0",{62784EEE-8C5B-4B54-BFE8-62D22A0A08B2},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",161809.905943855002988,1609.046088251981473
15521,"0",AF,Y,"2",0.000000000000000,40.000000000000000,"26",PG00025G,AQ25,"3","2","23",,40.090382239999997,"1","0",{4F8C0395-EE2C-43C8-BBDC-6BEFCDB67F25},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"1",162240.021153075009352,1611.180921934912703
15522,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00012B,AQ12,"3","1","6",,39.858176540000002,"1","0",{5E6E8646-7774-432B-9183-28B7AE2A0ED0},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",161300.318030449998332,1606.699806756562793
15527,"0",FL,Y,"1",12.949999999999999,12.949999999999999,"26",PG00112C,AQ112,"5","4","29",,12.487107190000000,"1","0",{EFB60170-95FE-409E-A0AA-2A7A5BA4ED80},2009/06/19 02:00:00.000,2021/07/15 00:25:01.000,tstore,SDE,"1",50533.530048020002141,1085.858571185105802
15528,"0",FL,Y,"2",0.000000000000000,160.000000000000000,"26",PG00108B,AQ108,"5","4","25",,160.691219660000002,"1","0",{F1943663-68D7-4593-B6DA-8DA7A5345906},2009/06/19 02:00:00.000,2021/07/15 00:25:01.000,tstore,SDE,"4",650294.295565224951133,4035.625794826728907
15529,"0",FL,Y,"2",0.000000000000000,320.000000000000000,"26",PG00107A,AQ107,"5","4","23",,321.997894560000020,"1","0",{1A808912-1605-478B-BD73-60E74F20B880},2009/06/19 02:00:00.000,2021/07/15 00:25:01.000,tstore,SDE,"1",1303079.250070604961365,4843.304926466420511
15530,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00102A,AQ102,"8","4","18",,39.907645830000000,"1","0",{7B3B6D38-FAFD-4A93-AF5E-443D2C03DBF7},2009/06/19 02:00:00.000,2021/07/15 00:25:01.000,tstore,SDE,"4",161500.513164989999495,1607.529941091265755
15593,"0",CS,Y,"1",320.000000000000000,320.000000000000000,"10",PG13842A,AQ13842,"44","98","36",,314.345868150000001,"1","0",{D81897B6-F187-4C72-A085-C52BC14BCB48},2009/06/19 02:00:00.000,2021/07/15 00:25:03.000,tstore,SDE,"1",1272112.597786529920995,4778.404379636945123
15597,"0",SR,Y,"1",80.000000000000000,80.000000000000000,"10",PG13649A,AQ13649,"44","97","31",,80.788784260000000,"1","0",{2D6775B1-0422-4171-B270-04720DB25877},2009/06/19 02:00:00.000,2021/07/15 00:25:03.000,tstore,SDE,"1",326940.611075595021248,2422.006612302150643
22479,"0",CS,Y,"1",27.199999999999999,27.199999999999999,"8",PG15470B,AQ15470,"40","105","16",,26.912366070000001,"1","0",{7557EFEB-35B3-496E-98BA-04C1F6C2DA3C},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",108910.481694414993399,1345.167500960230200
22480,"0",CS,Y,"1",27.199999999999999,27.199999999999999,"8",PG15470C,AQ15470,"40","105","16",,26.914095270000001,"1","0",{527F6604-A2D9-42F8-8AE6-E93CCE5D6C61},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",108917.479515625003842,1345.781644586087850
22481,"0",CS,Y,"1",27.180000000000000,27.180000000000000,"8",PG15470D,AQ15470,"40","105","16",,26.853242689999998,"1","0",{C3E4F138-D69F-4BA6-AE70-B5E9BF900B6D},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",108671.217865644997801,1344.564149443186352
22482,"0",CS,Y,"1",27.219999999999999,27.219999999999999,"8",PG15470A,AQ15470,"40","105","16",,26.973134840000000,"1","0",{949C224D-7CB0-492F-A5B5-8F7462995702},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",109156.404167695014621,1346.390464848110014
26419,"0",GA,Y,"1",160.000000000000000,160.000000000000000,"26",PG00026A,AQ26,"3","2","25",,159.028365809999997,"1","0",{314D34CA-11B1-4B66-A4BB-2764264D1300},2009/06/19 02:00:00.000,2021/07/15 00:32:17.000,tstore,SDE,"1",643564.964740109979175,3208.995378350152805
26445,"0",FL,Y,"2",0.000000000000000,40.000000000000000,"26",PG00075A,AQ75,"5","3","31",,40.044123229999997,"1","0",{7D4B6EB5-E13E-4253-8A79-778BFAA275DF},2009/06/19 02:00:00.000,2021/07/15 00:32:18.000,tstore,SDE,"4",162052.817601990012918,1610.263960527312065
26516,"0",AF,Y,"1",0.000000000000000,0.000000000000000,,PG00052A,AQ52,"2","3","15",,269.187441069999977,"1","0",{5FC7A6BA-19E2-45F9-A3DD-E50CA2DB2CFC},2009/06/19 02:00:00.000,2021/07/15 00:32:20.000,tstore,SDE,"1",1089362.926806400064379,5116.130073711717159
28535,"0",SR,Y,"1",47.869999999999997,47.869999999999997,"8",PG15469A,AQ15469,"40","105","4",,56.261188609999998,"1","0",{6C22C69E-1789-46D9-A259-0FC276C1BB2F},2009/06/19 02:00:00.000,2021/07/15 00:33:40.000,tstore,SDE,"1",196782.399913569999626,1790.729878128610153
133128,"0",GF,Y,"1",10.000000000000000,10.000000000000000,"7",LAND227833,,2N,5E,"26",,,"1","0",{ECAC59E1-7D68-4B0F-8DFC-E81610B15272},2022/07/22 21:02:11.000,2022/07/22 21:22:42.000,SHIANNE.FORNSTROM,SHIANNE.FORNSTROM,"5",40302.212647150001430,1004.276073973538018
133129,"0",GF,Y,"1",10.000000000000000,10.000000000000000,"7",LAND227832,,2N,5E,"26",,,"1","0",{98816FA6-6DAA-4108-A450-24A9633E73D4},2022/07/22 21:22:18.000,2022/07/22 21:25:14.000,SHIANNE.FORNSTROM,SHIANNE.FORNSTROM,"5",40271.529569530001027,1004.267633051685834
1059,"0",CS,Y,"1",18.340000000000000,18.340000000000000,"18",PG09994A,AQ9994,"58","84","16",,18.534867479999999,"1","0",{A1FF30D5-FEEF-4B54-9F1D-7B163D65D698},2009/06/19 02:00:00.000,2021/07/15 00:15:27.000,tstore,SDE,"4",75007.947677310003201,3401.863723919142558
1108,"0",CS,Y,"1",27.219999999999999,27.219999999999999,"18",PG11694A,AQ11694,"58","88","18",,27.723823140000000,"1","0",{57C05E1E-2972-466A-84A7-5565AFD91A3B},2009/06/19 02:00:00.000,2021/07/15 00:15:29.000,tstore,SDE,"4",112194.331956900001387,1359.327527275133207
1128,"0",CS,Y,"1",23.430000000000000,23.430000000000000,"18",PG10400C,AQ10400,"58","85","16",,25.928771410000000,"1","0",{9CE5CECC-5A3D-4B3C-8437-136420A02E9F},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"4",104930.015323604995501,1330.063192182003149
1129,"0",CS,Y,"1",22.809999999999999,22.809999999999999,"18",PG10400B,AQ10400,"58","85","16",,24.698802929999999,"1","0",{FCA14366-522B-4EED-AFAD-AB7874091D35},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"4",99952.509478079999099,1305.479962404785738
1130,"0",CS,Y,"1",24.020000000000000,24.020000000000000,"18",PG10400D,AQ10400,"58","85","16",,26.220990230000002,"1","0",{691707E7-C880-4B9D-A494-14ADA907367D},2009/06/19 02:00:00.000,2021/07/15 00:15:30.000,tstore,SDE,"4",106112.582943244997296,1334.670661880345278
