OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe,gis_acres
9219,"0",FL,Y,"1",80.000000000000000,80.000000000000000,"26",PG00033A,AQ33,"3","2","12",,80.010093650000002,"1","0",{F7707020-5973-4A30-A9B5-0A9AB3AC6A10},2009/06/19 02:00:00.000,2021/07/15 00:20:51.000,tstore,SDE,"4",323789.361973325023428,2416.814324411942380,80.106
9226,"0",FL,N,"1",80.000000000000000,80.000000000000000,"26",PG00044A,AQ44,"4","2","36",,80.612525559999995,"1","0",{29178A8A-F1AE-467A-819A-6B4517855AD9},2009/06/19 02:00:00.000,2021/07/15 00:20:51.000,tstore,SDE,"4",326227.317429044982418,2425.229803571152388,80.709
9227,"0",FL,N,"1",80.000000000000000,80.000000000000000,"26",PG00040A,AQ40,"4","2","16",,81.462829810000002,"1","0",{1D439BD8-6E42-458D-A967-35C5EF439971},2009/06/19 02:00:00.000,2021/07/15 00:20:51.000,tstore,SDE,"4",329668.376651284983382,2431.688670335190182,81.559
9228,"0",FL,N,"1",40.000000000000000,40.000000000000000,"26",PG00040B,AQ40,"4","2","16",,40.700949389999998,"1","0",{78019CA3-0DE8-496F-982F-E208AD511568},2009/06/19 02:00:00.000,2021/07/15 00:20:52.000,tstore,SDE,"4",164710.898777060006978,1623.433514898353906,40.749
9229,"0",FL,Y,"1",0.000000000000000,80.000000000000000,"26",PG00101B,AQ101,"8","4","17",,79.711811999999995,"1","0",{4A27AC33-E2E8-41A3-AABE-0160D0F83C93},2009/06/19 02:00:00.000,2021/07/15 00:20:52.000,tstore,SDE,"4",322582.258967034984380,2409.628831329985132,79.798
9230,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00101A,AQ101,"8","4","17",,39.819821830000002,"1","0",{1ED4F45A-FDE3-4AA9-AF20-B19073414820},2009/06/19 02:00:00.000,2021/07/15 00:20:52.000,tstore,SDE,"4",161145.102048800006742,1605.716185260836028,39.863
9279,"0",CS,N,"1",19.460000000000001,19.460000000000001,"10",PG14010D,AQ14010,"43","99","16",,20.443488410000000,"1","0",{935B6272-B64F-4C7B-9211-F5523121FD8B},2009/06/19 02:00:00.000,2021/07/15 00:20:53.000,tstore,SDE,"2",82731.862547355005518,1372.473552784289495,20.465
9287,"0",AG,Y,"1",80.000000000000000,80.000000000000000,"10",PG13648B,AQ13648,"44","97","31",,80.185020050000006,"1","0",{220FCF19-440A-41BB-8FF9-47210C4F8177},2009/06/19 02:00:00.000,2021/07/15 00:20:54.000,tstore,SDE,"1",324497.264014374988619,2419.716879405677446,80.269
9339,"0",CS,N,"1",160.000000000000000,160.000000000000000,"10",PG14010B,AQ14010,"43","99","16",,162.778562920000013,"1","0",{50B12778-2925-4E7C-A4A8-64B37576188B},2009/06/19 02:00:00.000,2021/07/15 00:20:55.000,tstore,SDE,"4",658741.474041579989716,3246.602836231564197,162.953
9346,"0",AG,Y,"1",320.000000000000000,320.000000000000000,"10",PG13650A,AQ13650,"44","97","32",,320.734413300000028,"1","0",{733FE27E-1E7B-4AA9-AF4B-011DA42F8CB5},2009/06/19 02:00:00.000,2021/07/15 00:20:56.000,tstore,SDE,"1",1297966.122819415293634,4833.015684236041125,321.072
9425,"0",CS,N,"1",38.909999999999997,38.909999999999997,"10",PG14010E,AQ14010,"43","99","16",,39.855514479999997,"1","0",{47A1B83A-D749-4745-BB26-63636068AB22},2009/06/19 02:00:00.000,2021/07/15 00:20:59.000,tstore,SDE,"2",161289.545070549997035,1629.113469665756156,39.898
9433,"0",CS,Y,"1",159.490000000000009,159.490000000000009,"10",PG13842B,AQ13842,"44","98","36",,158.181359950000001,"1","0",{AACE6E52-6610-4D6E-8BFC-6D08A95071C0},2009/06/19 02:00:00.000,2021/07/15 00:20:59.000,tstore,SDE,"1",640137.253656025161035,3222.749648128171430,158.348
9472,"0",CS,Y,"1",80.000000000000000,80.000000000000000,"10",PG13842C,AQ13842,"44","98","36",,79.533804320000002,"1","0",{989C7638-8E47-4701-BC90-0A4CAFA7D4DB},2009/06/19 02:00:00.000,2021/07/15 00:21:00.000,tstore,SDE,"1",321861.887429900001734,2406.712948337960825,79.618
9473,"0",AG,Y,"1",36.899999999999999,36.899999999999999,"10",PG13648D,AQ13648,"44","97","31",,36.880562060000003,"1","0",{0859D4CC-E2A7-4941-8BD3-376468B7B128},2009/06/19 02:00:00.000,2021/07/15 00:21:00.000,tstore,SDE,"1",149250.339740819967119,1546.862326620415161,36.919
9476,"0",SR,Y,"1",80.000000000000000,80.000000000000000,"10",PG13651B,AQ13651,"44","97","32",,80.880126439999998,"1","0",{FC639852-2B3E-43BB-8E6B-AA9ECE503C4B},2009/06/19 02:00:00.000,2021/07/15 00:21:00.000,tstore,SDE,"1",327310.259772064979188,2424.134480194430125,80.965
10056,"0",CS,Y,"1",30.199999999999999,30.199999999999999,"7",PG14009A,AQ14009,"34","99","36",,29.991152369999998,"1","0",{F4920B4C-8D5D-4801-A60C-11BF88D481CD},2009/06/19 02:00:00.000,2021/07/15 00:21:25.000,tstore,SDE,"1",121369.887853074993473,1863.532994180285868,30.027
15519,"0",FL,Y,"1",39.960000000000001,39.960000000000001,"26",PG00029B,AQ29,"3","2","1",,40.175528849999999,"1","0",{0D4F7603-617B-4652-A89B-267A9E0CE548},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",162584.597286359989084,1612.902450898557845,40.224
15520,"0",FL,Y,"1",39.960000000000001,39.960000000000001,"26",PG00029D,AQ29,"3","2","1",,39.984098449999998,"1","0",{62784EEE-8C5B-4B54-BFE8-62D22A0A08B2},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",161809.905943855002988,1609.046088251981473,40.032
15522,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00012B,AQ12,"3","1","6",,39.858176540000002,"1","0",{5E6E8646-7774-432B-9183-28B7AE2A0ED0},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",161300.318030449998332,1606.699806756562793,39.906
15525,"0",FL,N,"1",40.000000000000000,40.000000000000000,"26",PG00043A,AQ43,"4","2","35",,40.326185610000003,"1","0",{113012AC-BD6F-4571-BCCE-AB381FA6DBE0},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",163194.283539485011715,1615.896208970569432,40.374
15526,"0",FL,N,"1",80.000000000000000,80.000000000000000,"26",PG00041A,AQ41,"4","2","21",,81.321203460000007,"1","0",{5A40BC57-9153-4520-B13A-ADCFB1557F68},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",329095.235160449985415,2430.043955487284620,81.418
15527,"0",FL,Y,"1",12.949999999999999,12.949999999999999,"26",PG00112C,AQ112,"5","4","29",,12.487107190000000,"1","0",{EFB60170-95FE-409E-A0AA-2A7A5BA4ED80},2009/06/19 02:00:00.000,2021/07/15 00:25:01.000,tstore,SDE,"1",50533.530048020002141,1085.858571185105802,12.502
15530,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00102A,AQ102,"8","4","18",,39.907645830000000,"1","0",{7B3B6D38-FAFD-4A93-AF5E-443D2C03DBF7},2009/06/19 02:00:00.000,2021/07/15 00:25:01.000,tstore,SDE,"4",161500.513164989999495,1607.529941091265755,39.951
15590,"0",CS,N,"1",80.000000000000000,80.000000000000000,"10",PG14010C,AQ14010,"43","99","16",,81.305455140000007,"1","0",{A0763FE7-A6A6-443A-8950-8CB62D24EF8C},2009/06/19 02:00:00.000,2021/07/15 00:25:03.000,tstore,SDE,"4",329031.503947925055400,2433.718107904493081,81.393
15593,"0",CS,Y,"1",320.000000000000000,320.000000000000000,"10",PG13842A,AQ13842,"44","98","36",,314.345868150000001,"1","0",{D81897B6-F187-4C72-A085-C52BC14BCB48},2009/06/19 02:00:00.000,2021/07/15 00:25:03.000,tstore,SDE,"1",1272112.597786529920995,4778.404379636945123,314.677
15597,"0",SR,Y,"1",80.000000000000000,80.000000000000000,"10",PG13649A,AQ13649,"44","97","31",,80.788784260000000,"1","0",{2D6775B1-0422-4171-B270-04720DB25877},2009/06/19 02:00:00.000,2021/07/15 00:25:03.000,tstore,SDE,"1",326940.611075595021248,2422.006612302150643,80.874
15598,"0",SR,N,"1",80.000000000000000,80.000000000000000,"10",PG13641A,AQ13641,"43","97","5",,79.961126010000001,"1","0",{CB91F832-5628-426A-B0C0-CABC2A19290B},2009/06/19 02:00:00.000,2021/07/15 00:25:03.000,tstore,SDE,"1",323591.196969399985392,2415.321465803636784,80.046
22479,"0",CS,Y,"1",27.199999999999999,27.199999999999999,"8",PG15470B,AQ15470,"40","105","16",,26.912366070000001,"1","0",{7557EFEB-35B3-496E-98BA-04C1F6C2DA3C},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",108910.481694414993399,1345.167500960230200,26.944
22480,"0",CS,Y,"1",27.199999999999999,27.199999999999999,"8",PG15470C,AQ15470,"40","105","16",,26.914095270000001,"1","0",{527F6604-A2D9-42F8-8AE6-E93CCE5D6C61},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",108917.479515625003842,1345.781644586087850,26.945
22481,"0",CS,Y,"1",27.180000000000000,27.180000000000000,"8",PG15470D,AQ15470,"40","105","16",,26.853242689999998,"1","0",{C3E4F138-D69F-4BA6-AE70-B5E9BF900B6D},2009/06/19 02:00:00.000,2021/07/15 00:29:36.000,tstore,SDE,"2",108671.217865644997801,1344.564149443186352,26.884
